decade,total_tokens,coffee,tea,sugar,opium,cocoa,tobacco,coffee_per_million,tea_per_million,sugar_per_million,opium_per_million,cocoa_per_million,tobacco_per_million
1800,142200426,8505,14441,5307,387,708,2089,59.80994740479892,101.55384485275732,37.32056330126606,2.7215108342924377,4.978888037930351,14.69053264298941
1810,191189208,8961,17786,6750,526,1016,2983,46.869800307975545,93.0282633944485,35.30534003781218,2.7512013125761787,5.314107478284026,15.602345086339811
1820,239720024,15240,19960,11567,1014,2042,4916,63.57416350000032,83.26379943963296,48.25212265121416,4.229934500590573,8.518270463713952,20.507256415091963
1830,183986090,14993,15561,19000,1506,2668,4337,81.48985610814383,84.57704601472861,103.2686764526601,8.185401407247689,14.50109625135248,23.572434198694044
1840,601310976,45823,74834,91543,6166,9294,14266,76.20516143713299,124.45141197622178,152.2390304746408,10.25426151542592,15.456228758412019,23.72482886459069
1850,667080887,38642,84662,51865,5599,8646,13330,57.927008183042126,126.91414437122076,77.74919205562547,8.39328499603677,12.960946968339687,19.982584210960912
1860,651028965,30244,107056,30238,3330,12705,15160,46.455690339369156,164.44122420881843,46.4464741595637,5.114979792028147,19.515260738053335,23.286214308452468
1870,539171959,27756,150197,17741,3840,26100,23328,51.47893828061633,278.569754032776,32.90415924615991,7.122032101079649,48.40756193702573,43.266345014058864
1880,868343506,63307,239022,33796,5183,44788,32908,72.9054798735375,275.2620343774414,38.92008147291885,5.9688360242081435,51.578666380905716,37.89744470087625
1890,747699750,40133,217653,29054,4512,40018,19193,53.67528877734679,291.0967938667894,38.857843673212415,6.034507835531575,53.52148372391458,25.66939470021222
1900,580114837,23082,150912,28000,2501,22989,14347,39.78867377253445,260.1415967576778,48.26630559011198,4.31121536717393,39.62836068611015,24.731310225047736
1910,318302058,9693,69842,19041,1576,6491,7524,30.452206501285016,219.42051031288023,59.82053688135438,4.951271788509768,20.392579428437124,23.63792445225095
