rank,config_idx,run_name,learning_rate,batch_size,epochs,best_val_loss,final_val_perplexity
1,20,lr5e-05_bs16_ep4,5e-05,16,4,2.8103455500960592,16.615658769389523
2,14,lr4e-05_bs16_ep4,4e-05,16,4,2.830725037302013,16.957751370752437
3,23,lr5e-05_bs32_ep4,5e-05,32,4,2.847077532818443,17.237332619499558
4,8,lr3e-05_bs16_ep4,3e-05,16,4,2.8574142412529997,17.416433965464847
5,17,lr4e-05_bs32_ep4,4e-05,32,4,2.8616624544506615,17.490580072817565
6,13,lr4e-05_bs16_ep3,4e-05,16,3,2.869611174291336,17.630161806794373
7,19,lr5e-05_bs16_ep3,5e-05,16,3,2.8703451279936165,17.643106279064863
8,16,lr4e-05_bs32_ep3,4e-05,32,3,2.9255579251509447,18.644625454055436
9,22,lr5e-05_bs32_ep3,5e-05,32,3,2.941460682795598,18.943496552726604
10,1,lr2e-05_bs16_ep3,2e-05,16,3,2.9684161373374427,19.461071508377366
11,11,lr3e-05_bs32_ep4,3e-05,32,4,2.985239131247949,19.791234373120997
12,18,lr5e-05_bs16_ep2,5e-05,16,2,2.9972828043885453,20.03103467058027
13,21,lr5e-05_bs32_ep2,5e-05,32,2,3.0405570331372713,20.916891392220986
14,6,lr3e-05_bs16_ep2,3e-05,16,2,3.067570283978754,21.48962550400308
15,2,lr2e-05_bs16_ep4,2e-05,16,4,3.096192964917506,22.113603561392935
16,12,lr4e-05_bs16_ep2,4e-05,16,2,3.18856660396042,24.253637447267817
17,5,lr2e-05_bs32_ep4,2e-05,32,4,3.2206847696651812,25.045264548115718
18,15,lr4e-05_bs32_ep2,4e-05,32,2,3.562935307923599,35.26656358825815
19,10,lr3e-05_bs32_ep3,3e-05,32,3,3.597307656940661,36.49983196724263
20,4,lr2e-05_bs32_ep3,2e-05,32,3,3.8559867158109844,47.275241162987165
21,9,lr3e-05_bs32_ep2,3e-05,32,2,3.88104630095756,48.47490788929076
22,3,lr2e-05_bs32_ep2,2e-05,32,2,4.242886488254253,69.60848621291892
