word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
coffee,1910,0,1525,1,4.2459,True,"sym i ngton's coffee essence you can make delicious coffee the moet 17x.x tte.rrt—witbout trouble— at trifling vat simply add boing water. one bottle makes 40 cups. thos,..."
coffee,1910,0,1525,2,4.2541,True,"sywngton's coffee essence you never make a enp more than is needed. more cce nonnea,l than home cooked coffee—and far better. your morn- ing cup prepared by the most e..."
coffee,1910,0,1525,3,4.2733,True,"sy ington's coffee essence en.ablee you to make forty cups of delicious coffee. no waste— no waiting— e'rriply add boiling water. mos. 47,y m ngtc n tt. co., edinburgh ..."
coffee,1910,0,1525,4,4.2783,True,"no trouble-little expen. ymington9s trade mark. • coffee essence —economical and handy. anyone who can boil a kettle can make most delicior coffee with symington's. no was thos. symington 6', co., edi"
coffee,1910,0,1525,5,4.326,True,"jelicious, stimulating coffee made with symington's coffee essence is welcome on every table. by adding boiling water to symington's you can make the test cup of coffee in less th..."
coffee,1910,0,1525,6,4.3429,True,"symington's coffee essence enables you to make forty cups of delicious coffee. no waste —no waiting— emply add boiling water. thos. symington & co., edinburgh & london...."
coffee,1910,0,1525,7,4.3446,True,forty cups of delicious coffee from one bottle of syming- ton's. its flavour and aroma appeal to the connoisseur as strongly as its economy appeals to the thrifty house- wife. four...
coffee,1910,0,1525,8,4.3813,True,"ymingto (regd. trade i ark.) coffee essence ..,s the coffee mad. of syntsnetoe's. '• symington's of course. no other ;naking cortee is good enough, quick enough, or easy enough for me.""..."
coffee,1910,0,1525,9,4.4041,True,"sym in gton's coffee essence. made so quickly—coats eo little—try tt to-day if you like really good coffee. 40 cups from one bottle. thos. symington & co., edinburgh & lo..."
coffee,1910,0,1525,10,4.4156,True,"swaingtons coffee essence ory economiva.l —abisnatu tidy pure, and so easi y nti.k. nodlay, no trou.ble—oaqi boding wzikr, caid your coffee is ready. thos. sym/ngton &..."
coffee,1910,0,1525,11,4.4213,True,"symington's coffee essence has the flavour and aroma of the finest freshly roasted coffce. no trouble, 11.0 waiting—four cups cost one penny. tiros. symington & coedlab..."
coffee,1910,0,1525,12,4.4222,True,"malted milk holm!, • m.., muk co. slouor. i 3 (k, 40 cups of perfect coffee 5 from 1 bottle of symington's coffee essence—its eco- nomy appeals to the le thrifty houm wife it as forcibly as its fragra"
coffee,1910,0,1525,13,4.4527,True,"sy&ton's cive essence ""a cup of coffee is really delicious when made with symington's. it has flavour, strength and fragrance."" make your coffee from symington's—you'il 11 av c better coff..."
coffee,1910,0,1525,14,4.4727,True,symington's coffee essence you can make the most delicious coffee in a moment—without trouble— at trifling cost. simply add boiling water. one bottle makes 40 cups. tho...
coffee,1910,0,1525,15,4.4767,True,"• n gton (regd. trade mark.) coffee essence the cola maid, of symkgton's, says: • ""my way of making delicious coffee is the symington way. • a teaspoonful in a cup of boiling water, the..."
coffee,1910,0,1525,16,4.5011,True,symingt 0 n's coffee essence you can make the moot delicious coffee in a moment—without trouble— at trifling cost simply add boiling water. one bottle makes 40 cups. 4111...
coffee,1910,0,1525,17,4.51,True,"symington's coffee essence you can make the most delicious coffee in a moment—without trouble— at triffing cost simply add boiling water. one bottle ""ma.kes 40 cups. th..."
coffee,1910,0,1525,18,4.5203,True,"sumington's coffee essence is prepared from the choicest coffee, and retains the natural flavour and agrance of the coffee bean. it ist )solutely free from adulteration..."
coffee,1910,0,1525,19,4.5327,True,"sym in gton's coffee essence entableo you to maka. forty nips deiielous coffee. no *e --- no waiving-- fti mply add bo 1,1 irg water. ?hos. symingtcn & co., edinburgh & l..."
coffee,1910,0,1525,20,4.5368,True,"sym in gton's coffee essence enablee vou to inakii) forty _ e ups of delicious coffee waiting. no nveste imply add boiling water, .:hos. sy m i ngtc & co., edinburgh & lo..."
coffee,1910,0,1525,21,4.5372,True,"symington's coffee essence enables you to make forty cups of delicious coffee. no waste —no waiting limply add boiling water. thos. symington di co., edinburgh & london..."
coffee,1910,0,1525,22,4.5397,True,"'ym ing (regd. trade mark.) coffee essence the coffce maid, of symington's, says: ""no coffee like mine, i only use sy:flington's."" besure the-water is boiling. tim symington co, fidinb..."
coffee,1910,0,1525,23,4.5444,True,forty cups of delicious coffee from one bottle of syming ton's. its flavour and aroma appeal to the connoisseur as strongly as its economy appeals to the thrifty house- wife. four ...
coffee,1910,0,1525,24,4.5516,True,forty cups of delicious coffee from one bottle of syming- ton'. its flavour and aroma appeal to the connoisseur as strongly as its economy appeals to the thrifty house- wife. four ...
coffee,1910,0,1525,25,4.5575,True,"iffee esseno you can have the most fragrant and delicious coffee without fuss or difficulty. :onomical, too -4 cups only cost id. symington's coffee essence. thos. symington 6. co., edinsurgh & london"
coffee,1910,0,1525,26,4.5598,True,"delicious, stimulating coffet. made with symington's coffee essence is welcome on every table. by adding boiling water to symington's you can make the lest cup of coffee in less than 30 seconds. as ec"
coffee,1910,0,1525,27,4.563,True,"symington's coffee essence has tall? flavour and aroma of the finest freshly roasted coffese. no trouble, no w aiting—four cups coat one penny. mos. symington & co.. ed..."
coffee,1910,0,1525,28,4.5644,True,"symington's coffee essence very ef.xmomical—absolutely pure, and so easily rnacie. no delay, no trouble—add. boiling water, and your ooffee is ready. thos. symington & ..."
coffee,1910,0,1525,29,4.5679,True,made with syniington's coffee essence is welcome on every table. 33y adding boiling water to symington's you can make the test cup of coffee in less than 30 seconds. as economical...
coffee,1910,0,1525,30,4.5691,True,symington's coffee essence you can make the most delicious coffee in a moment—without trouble— at trifling cost. simply add boiling water. one bottle makes 40 cups. tho...
