word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
sugar,1880,0,1229,27,5.6307,True,"...esterday's police. (before mr. c. s. bonniell.) stealing sugall—patrick dunn, a young man, aged eighteen, was charged with stealing two pounds of raw sugar, the property of the pacific steam navigati"
sugar,1880,0,1229,50,5.7033,True,"...qual to one tableapoon. a plies of eon butter the size of au egg weighs lot. our quart of lama sour, well leaped, weigh' ills. one plot of beat brown sugar"
sugar,1880,0,1229,79,5.8165,True,"useful hints. cnocomern cream bonbons.—put a pound of loaf sugar in a stewpan pour upon it as mach milk or thin cream as the sugar will absorb. dissolve it over the fire, and boil slowly until it will"
sugar,1880,0,1229,83,5.8405,True,"household hints. latton pre.—one teacup of granulated sugar, juice of one lemon, three eggs, the yoke of three and the white of one, and three tablespoonfuls of sweet milk. put all in a pan together, "
sugar,1880,0,1229,86,5.8526,True,"a bad boy. a lad, fourteen years old, named jno. dow- ling, was charged with having stolen a lump of sugar from the morpeth sheds, the property of the pacific steam navigation company. the constable s"
sugar,1880,0,1229,87,5.8586,True,"useful hints. sununwr povider.—rub half a pound of loaf sugar upon the rind of s lemon till the yellow part is taken off. crush the sugar to powder, and mtx intimately with it four ounces of tartaric "
sugar,1880,0,1229,93,5.8772,True,"the monkey and the sugar. 3lxster monkey, in thi following story, certainly deierved his prize after taking sa much trouble to gain i runieteber, says a gentleman, once, when..."
sugar,1880,0,1229,95,5.8875,True,"cane sugar versus sugar made from beetroot, copied from september 3rd and 46 cane sugar and beet sugar. to tee elll7oll of the mies. sir,— while the sublect of ..."
sugar,1880,0,1229,97,5.8918,True,"t r,',..f., st. el,ens examiner registered for it transmission abroad. t pure sugar for preserving. henry milling & company are now offering pu r e sugar for maris g wine, jellies, jamb, preserves. &c"
sugar,1880,0,1229,100,5.9148,True,"saturday. a love for sugar.— john howarth, a young tlatmau of 76, canal-street, bootle, was in custody, charged with having stolen a lump of unrefined sugar the property of the..."
sugar,1880,0,1229,104,5.9321,True,"the monkey and the sugar. master monkey, in the following story, certainly deserved his prize after taking so much trouble to gain it. i remember, says a gentleman, once, whe..."
sugar,1880,0,1229,112,5.9649,True,"...r. preston.) theft of suoaa.—owen white, a boy, of 99, back st. anne-street, was charged with stealing about five and three-quarter pounds. weight of sugar, t"
sugar,1880,0,1229,115,5.9822,True,"ihe onit. to pickle ok tongues.—take soft water three gallons, salt facie pounds, saltpetre two ounces, and coarse brown sugar (the browner the better) one pound. boil ell thc3e together and skim thor"
sugar,1880,0,1229,127,6.0051,True,"useful hints. sherbet powder.—ro half a pound of loaf sugar upon the rind of a lemon till the yellow part is taken off. crush the sugar to powder, and mix intimately with it four ounces of tartaric ac"
sugar,1880,0,1229,132,6.0345,True,"...qual to one tableapoon. a plies of eon butter the size of au egg weighs lot. our quart of lama sour, well leaped, weigh' ills. one plot of beat brown sugar"
sugar,1880,0,1229,133,6.0435,True,"flaw* stookkiell his how to make a terperancr cordial. —take three quarters of a pound of lump sugar and one nrt of water, let it boil two or three 1, add two or three tabiesp audit is ready aa a diho"
sugar,1880,0,1229,138,6.0578,True,at wholesale prices f 0 0 d for thb food ma for tall sses prices. 111 asses at wholesale price best lump sugar ?abs. for 4id. often sold at 3d per lb. a saving to the masses of 25 per cent. best moist
sugar,1880,0,1229,139,6.0609,True,ilints for the home. i _ chocolate ctrs.—one large cup of granulated sugar and one-fourth cup of milk and cream. mix together and boil four minutes. stir occasionally untilcoolenoughto shape into moul
sugar,1880,0,1229,143,6.0666,True,"j)ome'tic recipes. to male maiii.iioitoiiiii pi-ddino.--qlutrter of a pound of butter, qnarter of a pound of sifted _white sugar, four yolk of eggs well-beaten; first put the sugar in a basin, then ad"
sugar,1880,0,1229,149,6.0798,True,"public notice. ihereby inform the public that my sugars are made solely from theproducts of raw sugar rkfined. neither gluoose or mtraura or tin, or any other foreign straerramit whatever is, or has b"
sugar,1880,0,1229,153,6.0978,True,"...ant, 12, sandy lane, heaton norris, and market place, hyde gouldburivs for good and cheap provisions. gouldburn's for good and cheap flour. best lumf sugar 2id. "
sugar,1880,0,1229,157,6.1052,True,"hints for the home. -- to mike hibele sdhere to ti uor other metal, add • little glycerine or sugar to the gum tied for fixing them. the true art of moral culture is to balance extrava- gant tendencie"
sugar,1880,0,1229,158,6.1121,True,"public notice. hereby inform the public tk it toy boiled sugars are made solely from the pr.o:)uots of raw sugar rkfined. neither glucose or mitri&tx of fin, or any other foreign sw:mlr= whatever .is,"
sugar,1880,0,1229,159,6.1135,True,"saturday. a love for sugar.— john howarth, a young tlatmau of 76, canal-street, bootle, was in custody, charged with having stolen a lump of unrefined sugar the property of the..."
sugar,1880,0,1229,160,6.1189,True,"tim new beer duty. from the return jest is.ued of the quen'ity of malt cc mon, and of sugar or syrup, made into beer and °berg...l with duty during the year ending smtember 30th last, being the first "
sugar,1880,0,1229,173,6.1466,True,"...qual to one tableapoon. a plies of eon butter the size of au egg weighs lot. our quart of lama sour, well leaped, weigh' ills. one plot of beat brown sugar"
sugar,1880,0,1229,174,6.147,True,hints for the home. chocolate criwis.—one large cup of granulated sugar and one-fourth cup of milk and cream. mix together and boil four minutes. stir occasionally until cool enough to shape into moul
sugar,1880,0,1229,177,6.1563,True,"...qual to one tableapoon. a plies of eon butter the size of au egg weighs lot. our quart of lama sour, well leaped, weigh' ills. one plot of beat brown sugar"
