word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
tobacco,1860,0,507,1,4.518,True,"thames tobacco smu ggling.—george turnbull, a young sailor, swllsbs. broofugfohrtebigefno'm.e alniurfalclrt°u°rehlch charged with smuggling tobacco. mr. win. mullet..."
tobacco,1860,0,507,3,4.6369,True,"...eft the streets, and could not starve. mr. beadon said there was no necessity for that, and committed her for throe months, with hard labour. thames. tobacco smugoling.—wiiiiam "
tobacco,1860,0,507,6,4.7087,True,"consump7ioiv of tobacco 1n france. the consumption in prance is increasing with a great rapidity, as proved by the following admi- nistrative returns :—ln 1789 the revenue p..."
tobacco,1860,0,507,8,4.7723,True,"consump7ioiv of tobacco 1n france. the consumption in prance is increasing with a great rapidity, as proved by the following admi- nistrative returns :—ln 1789 the revenue p..."
tobacco,1860,0,507,9,4.7725,True,"apprehension of housebreakers. on friday last detective m`kay, of the southern police district, learned that a quantity of tobacco had been sold in main street, gurbals, by a man named robert hillocks"
tobacco,1860,0,507,14,4.9709,True,"...george harding, a seaman, was brought before mr. paget, at the thames police-office on monday, charged with amuggling l lb. of foreign unmanufactured tobacco. a customhouse off"
tobacco,1860,0,507,15,5.0219,True,"the queen's, counterblast against tobacco. it is said that her majesty's ukase against the use of the weed is intentionally comprehensive, and that obedience to it will be exacted from the pr..."
tobacco,1860,0,507,16,5.0381,True,"facts for smokers. a fact for the anti-tobacco association is brought out in a parliamentary return just issued. the con- sumption of tobacco in this country is enormously increasing. over 41,000,..."
tobacco,1860,0,507,17,5.0422,True,"the _ cargo. he replied that about 25 lbs. of tobacco • the bernard he and and aaked another master r tobacco • there was not, but that there was in store and about 120 cigars. officer o. ard examined"
tobacco,1860,0,507,19,5.0503,True,the guiding star. the tobacconists are being looked after. a few days since several members of the trade were fined at sheffield for having to their posses•ion adul- terated tobac...
tobacco,1860,0,507,20,5.0584,True,"thames. tobacco sniugglixo.—jane macarthy, a middle-aged irish woman, whose husband is now undergoing penal servitude for his connection with a large robbery of can-..."
tobacco,1860,0,507,22,5.0993,True,"facts for smokers. a fact for the anti-tobacco association is brought out in a parliamentary return just issued. the con- sumption of tobacco in this country is enormously increasing. over 41,000,..."
tobacco,1860,0,507,23,5.1003,True,"the _ cargo. he replied that about 25 lbs. of tobacco • the bernard he and and aaked another master r tobacco • there was not, but that there was in store and about 120 cigars. officer o. ard examined"
tobacco,1860,0,507,24,5.1046,True,"...asnan employed on board the countess of loped&le, hamburg steamer, wax brought be- fore mr. burcham charged with smuggling a quantity of manufactured tobacco from the above ves"
tobacco,1860,0,507,27,5.1291,True,"... george coppard and john greenway, firemen on board the dolphin, hamburg steamer, were brought before mr. combe, charged with secreting a quantity of tobacco"
tobacco,1860,0,507,28,5.1589,True,"... george coppard and john greenway, firemen on board the dolphin, hamburg steamer, were brought before mr. combe, charged with secreting a quantity of tobacco"
tobacco,1860,0,507,31,5.178,True,"... george coppard and john greenway, firemen on board the dolphin, hamburg steamer, were brought before mr. combe, charged with secreting a quantity of tobacco"
tobacco,1860,0,507,34,5.1818,True,"...oe beiiggling. bliss asplett, master of the ship jessie 4eott, was brought up on remand charged with having smuggled 231,1b5..0f foreign manufactured tobacco. ma. tyndall, loc"
tobacco,1860,0,507,36,5.1938,True,"... george coppard and john greenway, firemen on board the dolphin, hamburg steamer, were brought before mr. combe, charged with secreting a quantity of tobacco"
tobacco,1860,0,507,37,5.1947,True,"... george coppard and john greenway, firemen on board the dolphin, hamburg steamer, were brought before mr. combe, charged with secreting a quantity of tobacco"
tobacco,1860,0,507,38,5.2141,True,"...asnan employed on board the countess of loped&le, hamburg steamer, wax brought be- fore mr. burcham charged with smuggling a quantity of manufactured tobacco from the above ves"
tobacco,1860,0,507,40,5.2267,True,"... george coppard and john greenway, firemen on board the dolphin, hamburg steamer, were brought before mr. combe, charged with secreting a quantity of tobacco"
tobacco,1860,0,507,44,5.2541,True,"thames. conviction op a cigar manufacturer for smug- glingtobacco.—henry cohen, a jew,was brought before mr. selfe, charged with smuggling 71bs. of foreign manu- factured tobacco and flb. of cigars. r"
tobacco,1860,0,507,45,5.2557,True,"the et xprfas, friday evening, may 31, 1867. prisoner again at the corner of newgatc-street, awl the❑ he told him that tobacco was easy to get out and that wit. nese could put a pound in his cap and a"
tobacco,1860,0,507,47,5.2705,True,the guiding star. the tobacconists are being looked after. a few days since several members of the trade were fined at sheffield for having to their posses•ion adul- terated tobac...
tobacco,1860,0,507,48,5.2786,True,"io le 6 lo p 041 _ a...---ire& swot], a puff of tobacco when mists first, at hearan'a ocannisod, 'trots from ost the azure main,""—in other words, our naval mvalowas avevet with the introinction, and u"
tobacco,1860,0,507,49,5.2792,True,"extensive tobacco seizure. southampton, monday.—a very large seizure of tobacco was made „yesterday morning on board the peninsular and oriental company's steamship de..."
tobacco,1860,0,507,50,5.2814,True,"tuesday. mfuggrling tobacco. sir sailors, named william n. avery, t. thomas, george g. ward, amos brown, frederick steel; and moses c. bomar, were charged on remand with having ..."
tobacco,1860,0,507,52,5.301,True,"4ith large ,ssm sup. vhslivat oaths. seatiiseasoco.nrajw, icy deenerst,!il .1, tisk m 401,44, &vita& cigatteii'es, in point of the quantity of tobacco consumed by different r micas, eagland is very fa"
tobacco,1860,0,507,55,5.3192,True,"...a cigar manufacturer for smug- gling toracco.—henry cohen, a jew,was brought before mr. selfe, charged with smuggling 71bs. of foreign manu- factured tobacco and /lb. of cigars. "
tobacco,1860,0,507,56,5.32,True,"tuesday. mfuggrling tobacco. sir sailors, named william n. avery, t. thomas, george g. ward, amos brown, frederick steel; and moses c. bomar, were charged on remand with having ..."
tobacco,1860,0,507,58,5.3321,True,"...a cigar manufacturer for smug- gling toracco.—henry cohen, a jew,was brought before mr. selfe, charged with smuggling 71bs. of foreign manu- factured tobacco and /lb. of cigars. "
tobacco,1860,0,507,60,5.3501,True,"...ination of sheep.—in reply to sir j. c. jervoise, mr. lowe said the experiments in the vacci- nation of sheep had not been successful. exportation op tobacco prom the southern st"
tobacco,1860,0,507,61,5.3567,True,"bow-street. adulteration qf tobacco.-mr. richard kusel, of nassau-place, commercial-road-east, appeared to answer a summons, at the instance of the excise authorities, charg- ing him wi..."
tobacco,1860,0,507,63,5.3765,True,"facts for smokers. a fact for the anti-tobacco association is brought out in a parliamentary return just issued. the con- sumption of tobacco in this country is enormously increasing. over 41,000,..."
tobacco,1860,0,507,65,5.3866,True,"4ith large ,ssm sup. vhslivat oaths. seatiiseasoco.nrajw, icy deenerst,!il .1, tisk m 401,44, &vita& cigatteii'es, in point of the quantity of tobacco consumed by different r micas, eagland is very fa"
tobacco,1860,0,507,66,5.3903,True,"tob&cco stanisiicb. —ln cuba there are tobacco plantations, occupying 414 so and cultivated by 15,000 negro slaves. employed is nearly three millions stir average quantity of tobacco produced • is..."
tobacco,1860,0,507,68,5.4034,True,"...george harding, a seaman, was brought before mr. paget, at the thames police-office on monday, charged with amuggling l lb. of foreign unmanufactured tobacco. a customhouse off"
tobacco,1860,0,507,70,5.4215,True,"...minster. a ery hard case and severe punishment.— daniel 111‘carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary"
tobacco,1860,0,507,72,5.4266,True,"thames. conviction op a cigar manufacturer for smug- glingtobacco.—henry cohen, a jew,was brought before mr. selfe, charged with smuggling 71bs. of foreign manu- factured tobacco and flb. of cigars. r"
tobacco,1860,0,507,74,5.4311,True,"... amusement, and suspicious posses- goozee, a young man, was charged with unlawfull) ringing house bells, and further with being in possession of some tobacco. henry sparks, 186"
tobacco,1860,0,507,76,5.4332,True,"...minster. a n ery hard case and severe punishment.— daniel m'carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary"
tobacco,1860,0,507,78,5.4464,True,"...tminster. a ery hard case and severe ,punishment.— daniel m'carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary "
tobacco,1860,0,507,82,5.4879,True,epitome of news. tilmoking.—the inland revenue returni show that the habit of smoking is gradually extending. in the year 1811 the weight of tobacco ooneumed in the united kingdom was lees than 14oz. 
tobacco,1860,0,507,83,5.5154,True,"...tminster. a ery hard case and severe ,punishment.— daniel m'carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary "
tobacco,1860,0,507,84,5.5186,True,"...minster. a n ery hard case and severe punishment.— daniel m'carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary"
tobacco,1860,0,507,85,5.5211,True,"thames. tobacco smuggling on board shlp.—charles phillips, the steward of the ship aurora australis, which arrived in the london dock yesterday from hobart town, was..."
tobacco,1860,0,507,86,5.5308,True,"...d suspicious posses- sion.—wiiiiam goozee, a young man, was charged with unlawfully ringing house bells, and further with being in possession of some tobacco. hen"
tobacco,1860,0,507,88,5.535,True,"...minster. a ery hard case and severe punishment.— daniel 111‘carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary"
tobacco,1860,0,507,90,5.5513,True,"bow-street. adulteration qf tobacco.-mr. richard kusel, of nassau-place, commercial-road-east, appeared to answer a summons, at the instance of the excise authorities, charg- ing him wi..."
tobacco,1860,0,507,96,5.5876,True,"the sun, london, saturday e police intelligence,--thia.day. 'west al inster. taring tobacco into a prison.—ingenious de- fence.—mary canmeady, a middle-aged irishwoman, was placed before mr. selfe, ch"
tobacco,1860,0,507,97,5.6172,True,"...minster. a n ery hard case and severe punishment.— daniel m'carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary"
tobacco,1860,0,507,99,5.623,True,"...minster. a ery hard case and severe punishment.— daniel 111‘carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary"
tobacco,1860,0,507,101,5.6326,True,"...minster. a n ery hard case and severe punishment.— daniel m'carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary"
tobacco,1860,0,507,103,5.6378,True,tobacco an enemy to public health. the consumption of tobacco increases steadily and rapidly. there are now being imported annually into this country about 5...
tobacco,1860,0,507,104,5.6407,True,"...tminster. a ery hard case and severe ,punishment.— daniel m'carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary "
tobacco,1860,0,507,105,5.6423,True,"tob&cco stanisiicb. —ln cuba there are tobacco plantations, occupying 414 so and cultivated by 15,000 negro slaves. employed is nearly three millions stir average quantity of tobacco produced • is..."
tobacco,1860,0,507,107,5.6547,True,"...tminster. a ery hard case and severe ,punishment.— daniel m'carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary "
tobacco,1860,0,507,108,5.6603,True,... 25 stock stock stock 10 19.16 4 10 stock stock stock stock stock 10 stock stock stock stock stock stock 12 10 stock 10 stock stock stock stock stock tobacco
tobacco,1860,0,507,109,5.6615,True,"...minster. a ery hard case and severe punishment.— daniel 111‘carthy and john holland, two respectable look- ing young men, were charged with conveying tobacco into the milbank penitentiary contrary"
tobacco,1860,0,507,112,5.6698,True,"convict dealings. the price of tobacco at the ""thieves' palace, or invalid criminal hotel,"" for so the surrey prison was sometimes designated by the inmates, was about one shilling per oun..."
tobacco,1860,0,507,113,5.6991,True,"...ingworth, or chilliogworth, of kate's-hall, dudley, worcestershire, gas fitter, aged 29, was charged with smuggling 51bs. 12oz. of cigars and 11b. of tobacco. "
