word,decade,n_clusters,silhouette,total_usages,cluster_sizes,visible_snippets
coffee,1840,3,0.1764,2651,1391|603|657,779
coffee,1850,2,0.1925,4973,2611|2362,1165
coffee,1860,3,0.1805,4035,1293|1381|1361,1011
coffee,1870,6,0.173,4640,906|447|1168|808|683|628,1796
coffee,1880,5,0.152,9298,1534|2284|1871|2937|672,3274
coffee,1890,7,0.1517,7727,306|979|2198|1116|980|699|1449,3101
coffee,1900,5,0.1141,4307,1322|1055|380|724|826,1950
coffee,1910,2,0.1502,2510,1525|985,1446
tea,1840,3,0.1548,7463,2414|2156|2893,2828
tea,1850,3,0.1617,12964,5196|3842|3926,4082
tea,1860,4,0.1478,16338,7924|4255|1981|2178,6949
tea,1870,4,0.1726,26229,3663|5936|8196|8434,12217
tea,1880,3,0.1548,40361,14311|13575|12475,18488
tea,1890,3,0.166,42616,17755|13202|11659,19540
tea,1900,4,0.1462,33283,7818|5407|14113|5945,13384
tea,1910,2,0.1421,16652,7724|8928,6295
sugar,1840,5,0.1555,8216,1169|1985|1663|3074|325,4284
sugar,1850,3,0.2115,6790,4120|626|2044,2240
sugar,1860,2,0.1247,3792,2009|1783,1010
sugar,1870,8,0.12,2354,156|439|308|271|197|270|352|361,682
sugar,1880,5,0.1202,4214,1229|1224|327|480|954,1505
sugar,1890,4,0.1133,3581,374|757|830|1620,1198
sugar,1900,4,0.1484,4598,1336|565|1083|1614,1770
sugar,1910,3,0.1239,4239,1109|1518|1612,2012
opium,1840,2,0.1342,482,208|274,145
opium,1850,2,0.2405,497,115|382,141
opium,1860,2,0.1431,240,97|143,63
opium,1870,2,0.1756,302,161|141,122
opium,1880,2,0.2536,613,173|440,318
opium,1890,2,0.2691,825,644|181,369
opium,1900,2,0.2426,495,343|152,224
opium,1910,2,0.2465,401,87|314,163
cocoa,1840,7,0.1823,648,159|93|172|47|57|120,228
cocoa,1850,4,0.2075,1306,474|386|229|217,369
cocoa,1860,4,0.1945,1371,270|407|220|474,379
cocoa,1870,3,0.1996,1779,337|957|485,518
cocoa,1880,2,0.2094,4136,831|3305,1545
cocoa,1890,4,0.2076,6421,3614|1161|722|924,3424
cocoa,1900,4,0.1631,6301,431|3236|1846|788,4760
cocoa,1910,2,0.1427,1307,406|901,599
tobacco,1840,2,0.1048,753,466|287,216
tobacco,1850,8,0.1053,1285,54|287|74|238|134|213|242|43,405
tobacco,1860,7,0.1051,1634,507|192|184|277|190|184|100,532
tobacco,1870,3,0.1722,3135,419|2536|180,1061
tobacco,1880,4,0.1182,4445,837|1806|1533|269,1530
tobacco,1890,2,0.0873,3446,1643|1803,1428
tobacco,1900,2,0.1045,2848,1383|1465,1265
tobacco,1910,2,0.0994,1783,676|1107,612
