word,decade,rank,neighbor,similarity
cocoa,1840s,1,cocos,0.8183850049972534
cocoa,1840s,2,molasses,0.7492940425872803
cocoa,1840s,3,pimento,0.7379969358444214
cocoa,1840s,4,cinnamon,0.7210220098495483
cocoa,1840s,5,saltpetre,0.702994704246521
cocoa,1840s,6,spices,0.6967455148696899
cocoa,1840s,7,mocha,0.6913971900939941
cocoa,1840s,8,pepper,0.6882528066635132
cocoa,1840s,9,bagi,0.6843292117118835
cocoa,1840s,10,tapioca,0.6754243969917297
cocoa,1840s,11,ginger,0.6649007201194763
cocoa,1840s,12,nut,0.6589779257774353
cocoa,1840s,13,coffee,0.6557117700576782
cocoa,1840s,14,peppe,0.6553030610084534
cocoa,1840s,15,currants,0.6528494954109192
cocoa,1840s,16,suga,0.6508811712265015
cocoa,1840s,17,indigo,0.6466569304466248
cocoa,1840s,18,olive,0.6464532017707825
cocoa,1840s,19,cassia,0.6455831527709961
cocoa,1840s,20,plantation,0.6452664136886597
cocoa,1850s,1,cocos,0.7754425406455994
cocoa,1850s,2,coffee,0.725554883480072
cocoa,1850s,3,tapioca,0.7085976600646973
cocoa,1850s,4,spices,0.7081711888313293
cocoa,1850s,5,pimento,0.703231930732727
cocoa,1850s,6,sugars,0.6896914839744568
cocoa,1850s,7,saltpetre,0.688323974609375
cocoa,1850s,8,raisins,0.6835975646972656
cocoa,1850s,9,cochineal,0.6795749068260193
cocoa,1850s,10,tobacco,0.6782053112983704
cocoa,1850s,11,molasses,0.6736361980438232
cocoa,1850s,12,sugar,0.6703240871429443
cocoa,1850s,13,sago,0.6570230722427368
cocoa,1850s,14,cinnamon,0.6531280279159546
cocoa,1850s,15,mocha,0.6505377292633057
cocoa,1850s,16,ginger,0.6492918729782104
cocoa,1850s,17,arrowroot,0.6478089690208435
cocoa,1850s,18,oils,0.6333537101745605
cocoa,1850s,19,olive,0.6323391795158386
cocoa,1850s,20,shellac,0.6313908100128174
cocoa,1860s,1,cocos,0.8328223824501038
cocoa,1860s,2,epps,0.6383782625198364
cocoa,1860s,3,coffee,0.5697200894355774
cocoa,1860s,4,coco,0.5548037886619568
cocoa,1860s,5,soluble,0.5484075546264648
cocoa,1860s,6,cassava,0.5455518960952759
cocoa,1860s,7,aroma,0.540955662727356
cocoa,1860s,8,spices,0.5409103035926819
cocoa,1860s,9,tapioca,0.5371572971343994
cocoa,1860s,10,pimento,0.5344322323799133
cocoa,1860s,11,cacao,0.5253580808639526
cocoa,1860s,12,matting,0.5199142694473267
cocoa,1860s,13,nut,0.5092853307723999
cocoa,1860s,14,fibre,0.5054044723510742
cocoa,1860s,15,aromatics,0.5051382780075073
cocoa,1860s,16,saltpetre,0.5041382312774658
cocoa,1860s,17,tea,0.5013592839241028
cocoa,1860s,18,molasses,0.5004011392593384
cocoa,1860s,19,sugars,0.4993722140789032
cocoa,1860s,20,turmeric,0.4944499135017395
cocoa,1870s,1,cocos,0.8843602538108826
cocoa,1870s,2,epps,0.711092472076416
cocoa,1870s,3,coco,0.7110831141471863
cocoa,1870s,4,cacao,0.5839837193489075
cocoa,1870s,5,comforting,0.58088219165802
cocoa,1870s,6,chocolate,0.5672802329063416
cocoa,1870s,7,marseille,0.55906742811203
