word,decade,rank,neighbor,similarity
coffee,1840s,1,coffe,0.7845196723937988
coffee,1840s,2,coff,0.766016960144043
coffee,1840s,3,toffee,0.7071430087089539
coffee,1840s,4,sugar,0.686618447303772
coffee,1840s,5,spices,0.6634618639945984
coffee,1840s,6,cocoa,0.6557117104530334
coffee,1840s,7,molasses,0.6512322425842285
coffee,1840s,8,tea,0.6496310830116272
coffee,1840s,9,plantation,0.6437236070632935
coffee,1840s,10,mocha,0.6337655186653137
coffee,1840s,11,arrowroot,0.6247572302818298
coffee,1840s,12,popper,0.6245808005332947
coffee,1840s,13,cocos,0.6226955652236938
coffee,1840s,14,cannisters,0.6223964691162109
coffee,1840s,15,tapioca,0.6219688653945923
coffee,1840s,16,saltpetre,0.6198071241378784
coffee,1840s,17,pepper,0.6178990602493286
coffee,1840s,18,sugars,0.6177307367324829
coffee,1840s,19,cochineal,0.6175491213798523
coffee,1840s,20,indigo,0.6127546429634094
coffee,1850s,1,coffe,0.7850370407104492
coffee,1850s,2,toffee,0.7771908640861511
coffee,1850s,3,coff,0.7597935795783997
coffee,1850s,4,sugar,0.7492130994796753
coffee,1850s,5,tobacco,0.7320541143417358
coffee,1850s,6,cocoa,0.7255550026893616
coffee,1850s,7,spices,0.7183457612991333
coffee,1850s,8,chicory,0.7088357210159302
coffee,1850s,9,tea,0.7035782933235168
coffee,1850s,10,ginger,0.7016416192054749
coffee,1850s,11,arrack,0.6936771869659424
coffee,1850s,12,sugars,0.6878456473350525
coffee,1850s,13,cochineal,0.6831371188163757
coffee,1850s,14,cinnamon,0.6806984543800354
coffee,1850s,15,pimento,0.679620623588562
coffee,1850s,16,semolina,0.6771960258483887
coffee,1850s,17,raisins,0.6766422390937805
coffee,1850s,18,rice,0.6761135458946228
coffee,1850s,19,saltpetre,0.6761041283607483
coffee,1850s,20,shellfish,0.6758621335029602
coffee,1860s,1,coffe,0.7480894923210144
coffee,1860s,2,toffee,0.720092236995697
coffee,1860s,3,rice,0.6937413811683655
coffee,1860s,4,coff,0.6880480647087097
coffee,1860s,5,molasses,0.6765962839126587
coffee,1860s,6,saltpetre,0.6721537709236145
coffee,1860s,7,sugar,0.6714016199111938
coffee,1860s,8,tobacco,0.6641421318054199
coffee,1860s,9,tea,0.660919189453125
coffee,1860s,10,tapioca,0.6572510600090027
coffee,1860s,11,sherbet,0.6493640542030334
coffee,1860s,12,confectionary,0.6485945582389832
coffee,1860s,13,rum,0.6414053440093994
coffee,1860s,14,jute,0.6319463849067688
coffee,1860s,15,pimento,0.6277012825012207
coffee,1860s,16,cigars,0.625105082988739
coffee,1860s,17,ginger,0.6204049587249756
coffee,1860s,18,spices,0.6187540888786316
coffee,1860s,19,sugars,0.6137390732765198
coffee,1860s,20,sassafras,0.6098706126213074
coffee,1870s,1,toffee,0.7628629803657532
coffee,1870s,2,coffe,0.7619128823280334
coffee,1870s,3,tea,0.7492668032646179
coffee,1870s,4,coffer,0.726256787776947
coffee,1870s,5,coff,0.712430477142334
coffee,1870s,6,sugar,0.6786984801292419
coffee,1870s,7,cannister,0.6669089198112488
coffee,1870s,8,cannisters,0.6502657532691956
coffee,1870s,9,chicory,0.6457541584968567
coffee,1870s,10,treacle,0.6342902779579163
coffee,1870s,11,taverns,0.6268348097801208
coffee,1870s,12,urns,0.6218371987342834
coffee,1870s,13,suga,0.6092363595962524
coffee,1870s,14,sandwiches,0.6069787740707397
coffee,1870s,15,teapots,0.6052956581115723
coffee,1870s,16,teas,0.6049500703811646
coffee,1870s,17,hydrostatic,0.6025913953781128
coffee,1870s,18,eatables,0.5974781513214111
coffee,1870s,19,saucers,0.5947827696800232
coffee,1870s,20,breakfast,0.5947815179824829
coffee,1880s,1,coffer,0.7740182280540466
coffee,1880s,2,coffe,0.7477129101753235
coffee,1880s,3,coff,0.73985755443573
coffee,1880s,4,tea,0.6883663535118103
coffee,1880s,5,tavern,0.6880447864532471
coffee,1880s,6,chicory,0.6293039321899414
coffee,1880s,7,toffee,0.6207563877105713
coffee,1880s,8,taverns,0.5859637260437012
coffee,1880s,9,coif,0.5835435390472412
coffee,1880s,10,teas,0.5768848657608032
coffee,1880s,11,sugar,0.5666975975036621
coffee,1880s,12,sipping,0.5615054368972778
coffee,1880s,13,coffees,0.5569620132446289
coffee,1880s,14,muffin,0.5567737817764282
coffee,1880s,15,essences,0.5530633330345154
coffee,1880s,16,tess,0.5460590124130249
coffee,1880s,17,cannisters,0.5457720160484314
coffee,1880s,18,cruets,0.5453559160232544
coffee,1880s,19,cruet,0.5453116297721863
coffee,1880s,20,suga,0.542802631855011
coffee,1890s,1,tea,0.8095032572746277
coffee,1890s,2,coffe,0.8085231184959412
coffee,1890s,3,coff,0.7360656261444092
coffee,1890s,4,coffer,0.6990746855735779
coffee,1890s,5,buns,0.6649706363677979
coffee,1890s,6,tavern,0.6517287492752075
coffee,1890s,7,souchong,0.6509212851524353
coffee,1890s,8,breakfast,0.6490563750267029
coffee,1890s,9,cannister,0.6488379836082458
coffee,1890s,10,chicory,0.6446868181228638
