word,decade,rank,neighbor,similarity
opium,1840s,1,contraband,0.6801763772964478
opium,1840s,2,morphine,0.6641590595245361
opium,1840s,3,tobacco,0.6578323841094971
opium,1840s,4,chinese,0.6483235359191895
opium,1840s,5,laudanum,0.6480154395103455
opium,1840s,6,poppy,0.6463030576705933
opium,1840s,7,drugs,0.6420420408248901
opium,1840s,8,henbane,0.6380675435066223
opium,1840s,9,drug,0.6354085206985474
opium,1840s,10,slava,0.6340048313140869
opium,1840s,11,indigo,0.6324285864830017
opium,1840s,12,arrack,0.630858838558197
opium,1840s,13,overdose,0.6199372410774231
opium,1840s,14,isinglass,0.6185629963874817
opium,1840s,15,quantify,0.61662358045578
opium,1840s,16,poisonous,0.6150566339492798
opium,1840s,17,prussic,0.6146803498268127
opium,1840s,18,sublimate,0.6132201552391052
opium,1840s,19,arsenic,0.6128631234169006
opium,1840s,20,narcotics,0.6106167435646057
opium,1850s,1,tobacco,0.6903214454650879
opium,1850s,2,nux,0.6835224628448486
opium,1850s,3,sublimate,0.6792012453079224
opium,1850s,4,drug,0.6731141805648804
opium,1850s,5,senna,0.6561816930770874
opium,1850s,6,intoxicating,0.6546406745910645
opium,1850s,7,morphine,0.6463125944137573
opium,1850s,8,fermented,0.6459687948226929
opium,1850s,9,teaspoonful,0.6451200246810913
opium,1850s,10,camphor,0.6426836848258972
opium,1850s,11,liquorice,0.6418367028236389
opium,1850s,12,toffee,0.640127420425415
opium,1850s,13,morphia,0.6381587386131287
opium,1850s,14,adulterate,0.6365928053855896
opium,1850s,15,imbibing,0.6352471709251404
opium,1850s,16,peppe,0.6348972320556641
opium,1850s,17,prussic,0.6333971619606018
opium,1850s,18,sprits,0.6327674388885498
opium,1850s,19,narcotic,0.6327211260795593
opium,1850s,20,decoction,0.631327748298645
opium,1860s,1,morphine,0.669018566608429
opium,1860s,2,nux,0.661219596862793
opium,1860s,3,alcohol,0.6369580626487732
opium,1860s,4,morphia,0.6294503808021545
opium,1860s,5,tobacco,0.6286314725875854
opium,1860s,6,arsenic,0.6274835467338562
opium,1860s,7,laudanum,0.6262694597244263
opium,1860s,8,camphorated,0.6238049268722534
opium,1860s,9,decoction,0.6215822696685791
opium,1860s,10,sublimate,0.6209567785263062
opium,1860s,11,antimony,0.6004469394683838
opium,1860s,12,overdose,0.5990184545516968
opium,1860s,13,acetic,0.5980935096740723
opium,1860s,14,muriatic,0.5969709157943726
opium,1860s,15,fermented,0.5951802730560303
opium,1860s,16,prussic,0.5940858721733093
opium,1860s,17,poison,0.5939830541610718
opium,1860s,18,liquorice,0.5932309627532959
opium,1860s,19,senna,0.5919850468635559
opium,1860s,20,myrrh,0.5889478325843811
opium,1870s,1,narcotics,0.7210516929626465
opium,1870s,2,morphia,0.6932058334350586
opium,1870s,3,narcotic,0.6644980907440186
opium,1870s,4,morphine,0.625777006149292
opium,1870s,5,antimony,0.6169621348381042
opium,1870s,6,opiate,0.6151484847068787
opium,1870s,7,catties,0.6046938300132751
opium,1870s,8,overdose,0.6037569642066956
opium,1870s,9,alcohol,0.6028656959533691
opium,1870s,10,poison,0.5980980396270752
opium,1870s,11,prussic,0.5968270301818848
opium,1870s,12,nux,0.5946428775787354
opium,1870s,13,arsenic,0.5885090827941895
opium,1870s,14,opiates,0.5883288383483887
opium,1870s,15,calomel,0.5846623778343201
opium,1870s,16,laudanum,0.5810263752937317
opium,1870s,17,bismuth,0.578270435333252
opium,1870s,18,injurious,0.5778281688690186
opium,1870s,19,fermented,0.572415828704834
opium,1870s,20,deleterious,0.5706648826599121
opium,1880s,1,narcotics,0.6923679709434509
opium,1880s,2,henbane,0.6887471079826355
opium,1880s,3,spirituous,0.676899790763855
opium,1880s,4,morphine,0.676611602306366
opium,1880s,5,morphia,0.674199104309082
opium,1880s,6,narcotic,0.666156530380249
opium,1880s,7,alcohol,0.6659179925918579
opium,1880s,8,opiate,0.6621529459953308
opium,1880s,9,liquor,0.6548142433166504
opium,1880s,10,intoxicate,0.6495115160942078
opium,1880s,11,paralyzing,0.6453776955604553
opium,1880s,12,prussic,0.6439075469970703
opium,1880s,13,arrack,0.6436721086502075
opium,1880s,14,overdose,0.6389519572257996
opium,1880s,15,stimulants,0.6367310285568237
opium,1880s,16,traffickers,0.6359767913818359
opium,1880s,17,slavery,0.63468998670578
opium,1880s,18,fumigation,0.6288725733757019
opium,1880s,19,retaliatory,0.6280741095542908
opium,1880s,20,contraband,0.6260994672775269
opium,1890s,1,alcohol,0.7200076580047607
opium,1890s,2,narcotic,0.7139840722084045
opium,1890s,3,spirituous,0.7063212394714355
opium,1890s,4,opiates,0.6953812837600708
opium,1890s,5,narcotics,0.6916375756263733
opium,1890s,6,liquor,0.6877680420875549
opium,1890s,7,intemperance,0.6873722076416016
opium,1890s,8,morphia,0.6828259229660034
opium,1890s,9,pernicious,0.6824849843978882
opium,1890s,10,tobacco,0.6820260286331177
opium,1890s,11,baneful,0.6800238490104675
opium,1890s,12,soporific,0.6680033206939697
opium,1890s,13,drink,0.6593055725097656
opium,1890s,14,dilution,0.6561243534088135
opium,1890s,15,injecting,0.6557044982910156
opium,1890s,16,prussic,0.6539729833602905
opium,1890s,17,morphine,0.6511681079864502
opium,1890s,18,stimulants,0.6501637697219849
opium,1890s,19,orthis,0.6501273512840271
opium,1890s,20,derivatives,0.6501093506813049
opium,1900s,1,morphia,0.7606911063194275
opium,1900s,2,narcotic,0.7425837516784668
opium,1900s,3,opiates,0.7404220700263977
opium,1900s,4,narcotics,0.7351532578468323
opium,1900s,5,morphine,0.7343364953994751
opium,1900s,6,laudanum,0.6946028470993042
opium,1900s,7,distilling,0.6838078498840332
opium,1900s,8,spirituous,0.6683764457702637
opium,1900s,9,bismuth,0.6672155261039734
opium,1900s,10,soporific,0.6658884286880493
opium,1900s,11,alcohol,0.6658651828765869
opium,1900s,12,deleterious,0.664313018321991
opium,1900s,13,prussic,0.6613835096359253
opium,1900s,14,cathartic,0.6608690023422241
opium,1900s,15,addiction,0.6586232781410217
opium,1900s,16,upas,0.6581889986991882
opium,1900s,17,demoralizing,0.6518691778182983
opium,1900s,18,tobacco,0.6487339735031128
opium,1900s,19,distillation,0.6446070671081543
opium,1900s,20,poisonous,0.6440767645835876
opium,1910s,1,morphine,0.7942663431167603
opium,1910s,2,chloral,0.748124897480011
opium,1910s,3,cocaine,0.736233115196228
opium,1910s,4,belladonna,0.7228825092315674
opium,1910s,5,narcotics,0.7221125960350037
opium,1910s,6,morphia,0.7172304391860962
opium,1910s,7,derivatives,0.7094653844833374
opium,1910s,8,sedatives,0.7054213285446167
opium,1910s,9,narcotic,0.6960448026657104
opium,1910s,10,laudanum,0.6952060461044312
