word,decade,rank,neighbor,similarity
sugar,1840s,1,sugars,0.8813930749893188
sugar,1840s,2,suga,0.7845825552940369
sugar,1840s,3,molasses,0.7839103937149048
sugar,1840s,4,indigo,0.6930902600288391
sugar,1840s,5,coffee,0.6866183280944824
sugar,1840s,6,tobacco,0.6814468502998352
sugar,1840s,7,produce,0.6802881360054016
sugar,1840s,8,chicory,0.6765118837356567
sugar,1840s,9,cloyed,0.6748406291007996
sugar,1840s,10,rum,0.6666380167007446
sugar,1840s,11,slave,0.6660369634628296
sugar,1840s,12,unrefined,0.664081335067749
sugar,1840s,13,import,0.6637614965438843
sugar,1840s,14,importation,0.6615894436836243
sugar,1840s,15,export,0.6603039503097534
sugar,1840s,16,imported,0.6581138372421265
sugar,1840s,17,auger,0.6540080904960632
sugar,1840s,18,refiners,0.6514407396316528
sugar,1840s,19,grown,0.6450034379959106
sugar,1840s,20,plantation,0.6398587226867676
sugar,1850s,1,sugars,0.8084850907325745
sugar,1850s,2,molasses,0.7907813787460327
sugar,1850s,3,coffee,0.7492130994796753
sugar,1850s,4,suga,0.7417173981666565
sugar,1850s,5,refiners,0.7092324495315552
sugar,1850s,6,tobacco,0.6963478922843933
sugar,1850s,7,spices,0.6851119995117188
sugar,1850s,8,rice,0.6780673861503601
sugar,1850s,9,saltpetre,0.6767783164978027
sugar,1850s,10,indigo,0.6744616627693176
sugar,1850s,11,cocoa,0.6703241467475891
sugar,1850s,12,tamarinds,0.6694980263710022
sugar,1850s,13,cochineal,0.6657456755638123
sugar,1850s,14,auger,0.6625542640686035
sugar,1850s,15,produco,0.6592581868171692
sugar,1850s,16,currants,0.6580764651298523
sugar,1850s,17,cocos,0.654354453086853
sugar,1850s,18,toffee,0.6527597904205322
sugar,1850s,19,equalized,0.6523521542549133
sugar,1850s,20,chicory,0.6517443060874939
sugar,1860s,1,molasses,0.7373928427696228
sugar,1860s,2,sugars,0.7164523005485535
sugar,1860s,3,rice,0.706251323223114
sugar,1860s,4,tobacco,0.702372670173645
sugar,1860s,5,refiners,0.6977283358573914
sugar,1860s,6,unrefined,0.6915566921234131
sugar,1860s,7,saltpetre,0.6802602410316467
sugar,1860s,8,jute,0.6717827320098877
sugar,1860s,9,coffee,0.6714015603065491
sugar,1860s,10,liquorice,0.6711780428886414
sugar,1860s,11,shellac,0.6699197888374329
sugar,1860s,12,turmeric,0.6656512022018433
sugar,1860s,13,suga,0.6559721827507019
sugar,1860s,14,indigo,0.6498446464538574
sugar,1860s,15,chicory,0.6485258340835571
sugar,1860s,16,rum,0.6467084884643555
sugar,1860s,17,syrups,0.6459397673606873
sugar,1860s,18,currants,0.6436196565628052
sugar,1860s,19,flax,0.6410634517669678
sugar,1860s,20,coffe,0.6400066018104553
sugar,1870s,1,suga,0.7703724503517151
sugar,1870s,2,sugars,0.7284051179885864
