word,decade,rank,neighbor,similarity
tea,1840s,1,coffee,0.6496310830116272
tea,1840s,2,pot,0.6482105255126953
tea,1840s,3,eta,0.6378283500671387
tea,1840s,4,coffe,0.6264732480049133
tea,1840s,5,rum,0.62220299243927
tea,1840s,6,cinnamon,0.6210116744041443
tea,1840s,7,spoo,0.6188817620277405
tea,1840s,8,ewer,0.6175342798233032
tea,1840s,9,urn,0.6091672778129578
tea,1840s,10,salt,0.6072925329208374
tea,1840s,11,cruets,0.606475293636322
tea,1840s,12,ale,0.6046329736709595
tea,1840s,13,sushi,0.6039015650749207
tea,1840s,14,wane,0.6027271151542664
tea,1840s,15,suga,0.599777102470398
tea,1840s,16,mug,0.597944438457489
tea,1840s,17,raw,0.5947677493095398
tea,1840s,18,tee,0.5930187106132507
tea,1840s,19,toffee,0.5911403298377991
tea,1840s,20,sere,0.5893710255622864
tea,1850s,1,teas,0.7501680254936218
tea,1850s,2,meat,0.746468186378479
tea,1850s,3,ate,0.7345582246780396
tea,1850s,4,ale,0.7292567491531372
tea,1850s,5,slam,0.7227281928062439
tea,1850s,6,wane,0.7213774919509888
tea,1850s,7,raw,0.7201760411262512
tea,1850s,8,eat,0.7193133234977722
tea,1850s,9,tee,0.71735680103302
tea,1850s,10,tin,0.7136221528053284
tea,1850s,11,eta,0.7123014330863953
tea,1850s,12,melt,0.7048362493515015
tea,1850s,13,teem,0.7042512893676758
tea,1850s,14,coffee,0.7035782933235168
tea,1850s,15,awn,0.7024264931678772
tea,1850s,16,rasa,0.7010902166366577
tea,1850s,17,emit,0.6995925903320312
tea,1850s,18,bat,0.6995570063591003
tea,1850s,19,ise,0.6988347768783569
tea,1850s,20,ads,0.6978724598884583
tea,1860s,1,coffee,0.660919189453125
tea,1860s,2,teas,0.6405061483383179
tea,1860s,3,amain,0.6320756673812866
tea,1860s,4,tee,0.6251339316368103
tea,1860s,5,tpa,0.6093553900718689
tea,1860s,6,wino,0.6071842908859253
tea,1860s,7,coff,0.6024696826934814
tea,1860s,8,toffee,0.6012160181999207
tea,1860s,9,coffe,0.5954613089561462
tea,1860s,10,sassafras,0.5753010511398315
tea,1860s,11,sugar,0.5739495158195496
tea,1860s,12,rum,0.5726203918457031
tea,1860s,13,ewer,0.5601656436920166
tea,1860s,14,spoonful,0.559691309928894
tea,1860s,15,spoonfuls,0.5565705895423889
tea,1860s,16,muffins,0.5556512475013733
tea,1860s,17,toddy,0.552635669708252
tea,1860s,18,importing,0.5525292754173279
tea,1860s,19,alack,0.552092969417572
tea,1860s,20,wine,0.5509318709373474
tea,1870s,1,coffee,0.7492668032646179
tea,1870s,2,teas,0.708145022392273
tea,1870s,3,tpa,0.6984753608703613
tea,1870s,4,coffe,0.6840962767601013
tea,1870s,5,toffee,0.6697006225585938
tea,1870s,6,coff,0.6669331192970276
tea,1870s,7,partook,0.6622711420059204
tea,1870s,8,cannister,0.6523667573928833
tea,1870s,9,partaken,0.6411527395248413
tea,1870s,10,cannisters,0.6332821846008301
tea,1870s,11,hima,0.6320003867149353
tea,1870s,12,tsa,0.6304996609687805
tea,1870s,13,choo,0.6219578981399536
tea,1870s,14,dinne,0.6195432543754578
tea,1870s,15,tamarinds,0.6053920984268188
tea,1870s,16,oops,0.6001837849617004
tea,1870s,17,edibles,0.5999593138694763
tea,1870s,18,tel,0.5998231172561646
tea,1870s,19,dinner,0.5989459753036499
tea,1870s,20,teapots,0.5966101288795471
tea,1880s,1,teas,0.7286545634269714
tea,1880s,2,coffee,0.6883664131164551
tea,1880s,3,tpa,0.6699326038360596
tea,1880s,4,tsa,0.6598663330078125
tea,1880s,5,coffe,0.6542254686355591
tea,1880s,6,supper,0.6495912671089172
tea,1880s,7,partook,0.6439956426620483
tea,1880s,8,dinner,0.6433244943618774
tea,1880s,9,partaken,0.6380674839019775
tea,1880s,10,partaking,0.6360582709312439
tea,1880s,11,tess,0.6229616403579712
tea,1880s,12,repast,0.6170765161514282
tea,1880s,13,dinne,0.6116252541542053
tea,1880s,14,buns,0.6102015972137451
tea,1880s,15,regaled,0.6073690056800842
tea,1880s,16,luncheon,0.6049056649208069
tea,1880s,17,breakfast,0.6024747490882874
tea,1880s,18,coff,0.6006147861480713
tea,1880s,19,entertainment,0.5955233573913574
tea,1880s,20,saucer,0.5805110931396484
tea,1890s,1,coffee,0.8095033168792725
tea,1890s,2,partaken,0.7156035304069519
tea,1890s,3,coff,0.7074251174926758
tea,1890s,4,coffe,0.6961044669151306
tea,1890s,5,supper,0.6960004568099976
tea,1890s,6,dinner,0.6895250082015991
tea,1890s,7,souchong,0.6889772415161133
tea,1890s,8,partook,0.6802821755409241
tea,1890s,9,teas,0.6747556328773499
tea,1890s,10,coffer,0.6742952466011047
tea,1890s,11,buns,0.674139142036438
tea,1890s,12,luncheon,0.6700961589813232
tea,1890s,13,entertainment,0.6681919693946838
tea,1890s,14,regaled,0.6608346700668335
tea,1890s,15,cannister,0.65829998254776
tea,1890s,16,tpa,0.6579259634017944
tea,1890s,17,repast,0.6563814878463745
tea,1890s,18,paraguay,0.6479133367538452
tea,1890s,19,partaking,0.6392248868942261
tea,1890s,20,cannisters,0.6352537870407104
tea,1900s,1,supper,0.7898746132850647
tea,1900s,2,coffee,0.7786124348640442
tea,1900s,3,dinner,0.7545830011367798
tea,1900s,4,partaken,0.7246226072311401
tea,1900s,5,teas,0.7222210764884949
tea,1900s,6,breakfast,0.7129843831062317
tea,1900s,7,partook,0.7127087712287903
tea,1900s,8,entertainment,0.7112626433372498
tea,1900s,9,partaking,0.7076667547225952
tea,1900s,10,coff,0.7074947953224182
tea,1900s,11,repast,0.7014181613922119
tea,1900s,12,regaled,0.7002366781234741
tea,1900s,13,luncheon,0.6970044374465942
tea,1900s,14,tsa,0.6891894936561584
tea,1900s,15,fork,0.6874219179153442
tea,1900s,16,partake,0.6815947890281677
tea,1900s,17,cosies,0.6762938499450684
tea,1900s,18,lunch,0.6699390411376953
tea,1900s,19,coffer,0.669535219669342
tea,1900s,20,sumptuous,0.6649237275123596
tea,1910s,1,supper,0.8004271388053894
tea,1910s,2,dinner,0.7935312986373901
tea,1910s,3,partook,0.7689878344535828
tea,1910s,4,partaken,0.7609837651252747
tea,1910s,5,hotpot,0.7534675002098083
tea,1910s,6,repast,0.7446116805076599
tea,1910s,7,partaking,0.7394307255744934
tea,1910s,8,coffe,0.7345750331878662
tea,1910s,9,coffee,0.7342984080314636
tea,1910s,10,luncheon,0.730644702911377
tea,1910s,11,lunch,0.7180838584899902
tea,1910s,12,lunches,0.7064740657806396
tea,1910s,13,teas,0.7049592733383179
tea,1910s,14,partake,0.6972299218177795
tea,1910s,15,alfresco,0.6953519582748413
tea,1910s,16,refreshments,0.6935337781906128
tea,1910s,17,breakfast,0.6920529007911682
tea,1910s,18,regaled,0.6873698830604553
tea,1910s,19,sandwiches,0.6791430115699768
tea,1910s,20,cruets,0.6747936606407166
