word,decade,rank,neighbor,similarity
tobacco,1840s,1,cigars,0.7538921236991882
tobacco,1840s,2,chicory,0.7436159253120422
tobacco,1840s,3,molasses,0.716218888759613
tobacco,1840s,4,smuggled,0.7101906538009644
tobacco,1840s,5,illicitly,0.7089763879776001
tobacco,1840s,6,contraband,0.7069191932678223
tobacco,1840s,7,adulterated,0.6967201828956604
tobacco,1840s,8,vinegar,0.687348484992981
tobacco,1840s,9,smuggling,0.6820074319839478
tobacco,1840s,10,sugar,0.6814469695091248
tobacco,1840s,11,arrack,0.6792888641357422
tobacco,1840s,12,cassava,0.6775197386741638
tobacco,1840s,13,cocoons,0.6722635626792908
tobacco,1840s,14,imported,0.6721417307853699
tobacco,1840s,15,semolina,0.6714375019073486
tobacco,1840s,16,spirits,0.6714191436767578
tobacco,1840s,17,beetroot,0.6703126430511475
tobacco,1840s,18,import,0.6680564880371094
tobacco,1840s,19,indigo,0.665330708026886
tobacco,1840s,20,camphorated,0.6652802228927612
tobacco,1850s,1,cigars,0.7515438199043274
tobacco,1850s,2,wine,0.7445935010910034
tobacco,1850s,3,coffee,0.7320541143417358
tobacco,1850s,4,chicory,0.7055590152740479
tobacco,1850s,5,liquorice,0.7007956504821777
tobacco,1850s,6,sugar,0.6963479518890381
tobacco,1850s,7,hogshead,0.695250928401947
tobacco,1850s,8,calabash,0.6933467984199524
tobacco,1850s,9,cassava,0.6928871273994446
tobacco,1850s,10,opium,0.6903214454650879
tobacco,1850s,11,brandy,0.6896005868911743
tobacco,1850s,12,soap,0.688721776008606
tobacco,1850s,13,scrapings,0.6866686940193176
tobacco,1850s,14,toffee,0.6850916147232056
tobacco,1850s,15,imported,0.6850659251213074
tobacco,1850s,16,unrefined,0.6834990978240967
tobacco,1850s,17,illicitly,0.6782279014587402
tobacco,1850s,18,cocoa,0.6782053112983704
tobacco,1850s,19,snuffs,0.677872896194458
tobacco,1850s,20,raisins,0.6771402359008789
tobacco,1860s,1,cigars,0.8025644421577454
tobacco,1860s,2,unrefined,0.7387455105781555
tobacco,1860s,3,liquorice,0.7200012803077698
tobacco,1860s,4,chicory,0.7176706790924072
tobacco,1860s,5,snuff,0.7161394357681274
tobacco,1860s,6,rags,0.7137419581413269
tobacco,1860s,7,sugar,0.702372670173645
tobacco,1860s,8,smuggled,0.6960530877113342
tobacco,1860s,9,spirituous,0.6948598623275757
tobacco,1860s,10,adulterating,0.6913672685623169
tobacco,1860s,11,tapioca,0.6886617541313171
tobacco,1860s,12,fermented,0.688172459602356
tobacco,1860s,13,warehoused,0.6873782873153687
tobacco,1860s,14,commodity,0.6823292374610901
tobacco,1860s,15,turmeric,0.6815961003303528
tobacco,1860s,16,turpentine,0.6808061003684998
tobacco,1860s,17,wine,0.6805840134620667
tobacco,1860s,18,tamarinds,0.6804193258285522
tobacco,1860s,19,adulterate,0.6780246496200562
tobacco,1860s,20,sherbet,0.6734007000923157
tobacco,1870s,1,cigars,0.7316408753395081
tobacco,1870s,2,snuff,0.7232727408409119
tobacco,1870s,3,cigar,0.7097653150558472
tobacco,1870s,4,ecco,0.6212496161460876
tobacco,1870s,5,suga,0.6192269325256348
tobacco,1870s,6,pipe,0.6087595820426941
tobacco,1870s,7,smoking,0.6059785485267639
tobacco,1870s,8,fumigating,0.6025317311286926
tobacco,1870s,9,smoke,0.5985546112060547
tobacco,1870s,10,cig,0.5975549817085266
tobacco,1870s,11,cannister,0.5964779257774353
tobacco,1870s,12,snuffs,0.5961506962776184
tobacco,1870s,13,smokes,0.5951776504516602
tobacco,1870s,14,shag,0.5943936705589294
tobacco,1870s,15,smoker,0.5865948796272278
tobacco,1870s,16,havana,0.5864840149879456
tobacco,1870s,17,consumable,0.5857958197593689
tobacco,1870s,18,copa,0.5854377746582031
tobacco,1870s,19,hookah,0.5818911790847778
tobacco,1870s,20,coffe,0.580016553401947
tobacco,1880s,1,cigars,0.781730055809021
tobacco,1880s,2,cigar,0.7429447174072266
tobacco,1880s,3,fumigating,0.6618805527687073
tobacco,1880s,4,contraband,0.6497044563293457
tobacco,1880s,5,snuff,0.6324206590652466
tobacco,1880s,6,smoke,0.6294786334037781
tobacco,1880s,7,lcan,0.6230761408805847
tobacco,1880s,8,smuggled,0.6177772879600525
tobacco,1880s,9,pouch,0.6175292730331421
tobacco,1880s,10,smokes,0.6111414432525635
tobacco,1880s,11,opium,0.5980594754219055
tobacco,1880s,12,pouches,0.5945879817008972
tobacco,1880s,13,snuffing,0.5871401429176331
tobacco,1880s,14,adulterating,0.5861899852752686
tobacco,1880s,15,pipe,0.5859987735748291
tobacco,1880s,16,snuffs,0.5839205980300903
tobacco,1880s,17,smoker,0.5832249522209167
tobacco,1880s,18,hargraves,0.5825628042221069
tobacco,1880s,19,arrack,0.581622302532196
tobacco,1880s,20,sweetmeats,0.5804783701896667
tobacco,1890s,1,cigars,0.7502128481864929
tobacco,1890s,2,snuff,0.7391518354415894
tobacco,1890s,3,cigar,0.6974197626113892
tobacco,1890s,4,opium,0.6820260882377625
tobacco,1890s,5,spirituous,0.6693804264068604
tobacco,1890s,6,pouch,0.6680872440338135
tobacco,1890s,7,whiffs,0.6669734716415405
tobacco,1890s,8,pipe,0.6616054177284241
tobacco,1890s,9,smokers,0.6505303382873535
tobacco,1890s,10,sweetmeats,0.6501523852348328
tobacco,1890s,11,drink,0.6498127579689026
tobacco,1890s,12,smoke,0.6465863585472107
tobacco,1890s,13,oranges,0.6412678956985474
tobacco,1890s,14,cannister,0.6400517225265503
tobacco,1890s,15,smokes,0.638721764087677
tobacco,1890s,16,brandied,0.6363717913627625
tobacco,1890s,17,vevy,0.6358341574668884
tobacco,1890s,18,beer,0.6356211304664612
