neighbor,status,in_first,in_last
ambrosia,stable,True,True
anchovy,stable,True,True
apricots,stable,True,True
arrack,stable,True,True
avoirdupois,stable,True,True
bananas,stable,True,True
beefs,stable,True,True
beeswax,stable,True,True
biscuits,stable,True,True
bitters,stable,True,True
blancmange,stable,True,True
blubber,stable,True,True
botter,stable,True,True
brews,stable,True,True
brimstone,stable,True,True
caesars,stable,True,True
cak,stable,True,True
carbonate,stable,True,True
carbonated,stable,True,True
cayenne,stable,True,True
cels,stable,True,True
chocolate,stable,True,True
clarifying,stable,True,True
clouts,stable,True,True
cochineal,stable,True,True
cocoanut,stable,True,True
cocos,stable,True,True
codfish,stable,True,True
cofee,stable,True,True
coffee,stable,True,True
coffees,stable,True,True
cranberries,stable,True,True
currants,stable,True,True
custard,stable,True,True
dainties,stable,True,True
drinkers,stable,True,True
essences,stable,True,True
flavors,stable,True,True
fritters,stable,True,True
ggo,stable,True,True
gravy,stable,True,True
gruyere,stable,True,True
harlots,stable,True,True
hempseed,stable,True,True
hogshead,stable,True,True
homemade,stable,True,True
isinglass,stable,True,True
jellies,stable,True,True
lemonade,stable,True,True
lentils,stable,True,True
liqueur,stable,True,True
liqueurs,stable,True,True
liquorice,stable,True,True
mangoes,stable,True,True
molasses,stable,True,True
muffins,stable,True,True
muscatel,stable,True,True
oysters,stable,True,True
parmesan,stable,True,True
pastas,stable,True,True
peppers,stable,True,True
phosphate,stable,True,True
pimento,stable,True,True
pineapples,stable,True,True
pomegranates,stable,True,True
prunes,stable,True,True
pulps,stable,True,True
quantify,stable,True,True
ragout,stable,True,True
rhubarb,stable,True,True
salads,stable,True,True
saltpetre,stable,True,True
sardines,stable,True,True
sarsaparilla,stable,True,True
sausage,stable,True,True
sipping,stable,True,True
souchong,stable,True,True
spermaceti,stable,True,True
sprits,stable,True,True
strawberries,stable,True,True
suas,stable,True,True
suga,stable,True,True
sugar,stable,True,True
sugars,stable,True,True
sugary,stable,True,True
sulphuric,stable,True,True
sweetmeat,stable,True,True
sweetmeats,stable,True,True
syrups,stable,True,True
tamarind,stable,True,True
tapioca,stable,True,True
tellies,stable,True,True
tobaccos,stable,True,True
toffee,stable,True,True
treacle,stable,True,True
turmeric,stable,True,True
unripe,stable,True,True
vanilla,stable,True,True
vermicelli,stable,True,True
wafers,stable,True,True
walnuts,stable,True,True
youg,stable,True,True
abit,new,False,True
acetate,new,False,True
acetone,new,False,True
addiction,new,False,True
adulterate,new,False,True
adulterated,new,False,True
adulterating,new,False,True
adulteration,new,False,True
aerated,new,False,True
aish,new,False,True
akes,new,False,True
albumen,new,False,True
albumin,new,False,True
alcoholic,new,False,True
alfalfa,new,False,True
alife,new,False,True
alkaline,new,False,True
alkaloid,new,False,True
aluminum,new,False,True
alveoli,new,False,True
alwas,new,False,True
amaz,new,False,True
ammen,new,False,True
ammoniated,new,False,True
ammonium,new,False,True
anyways,new,False,True
apogee,new,False,True
appetising,new,False,True
appetizing,new,False,True
areally,new,False,True
areca,new,False,True
aromatic,new,False,True
arrowroot,new,False,True
arsenic,new,False,True
arsenio,new,False,True
artificials,new,False,True
aspic,new,False,True
aspirin,new,False,True
assimilate,new,False,True
assimilated,new,False,True
atropine,new,False,True
autumns,new,False,True
baccy,new,False,True
banana,new,False,True
banger,new,False,True
bannocks,new,False,True
bater,new,False,True
bedtime,new,False,True
beefed,new,False,True
beefsteak,new,False,True
belladonna,new,False,True
belling,new,False,True
benzoic,new,False,True
benzoin,new,False,True
beore,new,False,True
bergamot,new,False,True
bespoken,new,False,True
beverage,new,False,True
beverages,new,False,True
bicarbonate,new,False,True
bilking,new,False,True
biomass,new,False,True
biscuit,new,False,True
bismuth,new,False,True
bitumen,new,False,True
blackcurrant,new,False,True
blanc,new,False,True
blancmanges,new,False,True
blender,new,False,True
blimps,new,False,True
blitz,new,False,True
bloed,new,False,True
bods,new,False,True
bodybuilder,new,False,True
bodybuilding,new,False,True
bonbons,new,False,True
boneless,new,False,True
bonum,new,False,True
boxful,new,False,True
bread,new,False,True
breadcrumbs,new,False,True
breads,new,False,True
breakf,new,False,True
breakfast,new,False,True
brewed,new,False,True
brilliantine,new,False,True
brisket,new,False,True
broiled,new,False,True
bromo,new,False,True
broths,new,False,True
buckwheat,new,False,True
bule,new,False,True
burdock,new,False,True
bures,new,False,True
burgundy,new,False,True
bussed,new,False,True
butin,new,False,True
buttermilk,new,False,True
butthis,new,False,True
buv,new,False,True
byproducts,new,False,True
cadge,new,False,True
caffeine,new,False,True
cakes,new,False,True
calcined,new,False,True
calcite,new,False,True
caliphate,new,False,True
calomel,new,False,True
calorie,new,False,True
calories,new,False,True
camaro,new,False,True
camomile,new,False,True
camphorated,new,False,True
canister,new,False,True
caper,new,False,True
capful,new,False,True
capsicum,new,False,True
caramels,new,False,True
caraway,new,False,True
carb,new,False,True
carbo,new,False,True
carbohydrate,new,False,True
carbohydrates,new,False,True
carbons,new,False,True
cascara,new,False,True
casein,new,False,True
casserole,new,False,True
cassette,new,False,True
castile,new,False,True
catsup,new,False,True
caviare,new,False,True
cellulose,new,False,True
cerainly,new,False,True
cereal,new,False,True
cereals,new,False,True
chablis,new,False,True
chango,new,False,True
chans,new,False,True
characterless,new,False,True
chees,new,False,True
cheese,new,False,True
cheesecakes,new,False,True
chemically,new,False,True
chemicals,new,False,True
chicory,new,False,True
chillies,new,False,True
chillingly,new,False,True
chinked,new,False,True
chittering,new,False,True
chlorate,new,False,True
chlorinated,new,False,True
chlorophyll,new,False,True
choco,new,False,True
chocolat,new,False,True
chocolates,new,False,True
chunks,new,False,True
chutney,new,False,True
cigarettes,new,False,True
citric,new,False,True
clarify,new,False,True
cleansers,new,False,True
cliches,new,False,True
cloture,new,False,True
coax,new,False,True
coco,new,False,True
coconut,new,False,True
coff,new,False,True
coffe,new,False,True
coffer,new,False,True
colander,new,False,True
collator,new,False,True
commodity,new,False,True
communally,new,False,True
compaction,new,False,True
compote,new,False,True
concoctions,new,False,True
condensed,new,False,True
condiments,new,False,True
confections,new,False,True
conked,new,False,True
connoisseur,new,False,True
conserves,new,False,True
consomme,new,False,True
consumable,new,False,True
consumes,new,False,True
containers,new,False,True
converters,new,False,True
cookies,new,False,True
coona,new,False,True
cornflour,new,False,True
cornrow,new,False,True
cornstarch,new,False,True
cosmetics,new,False,True
cottonseed,new,False,True
crackers,new,False,True
cranberry,new,False,True
crea,new,False,True
creamiest,new,False,True
creaminess,new,False,True
creams,new,False,True
creamy,new,False,True
crisper,new,False,True
croquettes,new,False,True
croutons,new,False,True
cruets,new,False,True
crumpets,new,False,True
crushers,new,False,True
crystalized,new,False,True
crystallized,new,False,True
cube,new,False,True
cubes,new,False,True
cume,new,False,True
cupful,new,False,True
curdle,new,False,True
curdled,new,False,True
curdles,new,False,True
curds,new,False,True
currant,new,False,True
curries,new,False,True
cuse,new,False,True
cutlets,new,False,True
dampening,new,False,True
dawdle,new,False,True
decoction,new,False,True
decoys,new,False,True
delicacies,new,False,True
delicious,new,False,True
deliciousness,new,False,True
deltoids,new,False,True
deodorizer,new,False,True
depressant,new,False,True
desh,new,False,True
desiccated,new,False,True
destr,new,False,True
developer,new,False,True
developers,new,False,True
devourer,new,False,True
diapers,new,False,True
dietetic,new,False,True
digestible,new,False,True
digesting,new,False,True
digests,new,False,True
dilute,new,False,True
dilutes,new,False,True
dippers,new,False,True
disagrees,new,False,True
disgorging,new,False,True
disinfects,new,False,True
distiller,new,False,True
distillers,new,False,True
diuretic,new,False,True
doce,new,False,True
dooming,new,False,True
dorne,new,False,True
doublets,new,False,True
doughnuts,new,False,True
drink,new,False,True
drinkable,new,False,True
drinkin,new,False,True
drinking,new,False,True
drinks,new,False,True
drippings,new,False,True
dromedary,new,False,True
drudging,new,False,True
duality,new,False,True
dumpling,new,False,True
dumplings,new,False,True
dunking,new,False,True
eaking,new,False,True
earwigs,new,False,True
eatable,new,False,True
eatables,new,False,True
ecg,new,False,True
ecumenical,new,False,True
edibles,new,False,True
egga,new,False,True
eggless,new,False,True
elderberry,new,False,True
elect,new,False,True
emollients,new,False,True
emos,new,False,True
emulsions,new,False,True
energising,new,False,True
energizing,new,False,True
entrees,new,False,True
envision,new,False,True
epicure,new,False,True
epicurean,new,False,True
equates,new,False,True
