neighbor,status,in_first,in_last
ambrosia,stable,True,True
annd,stable,True,True
apricots,stable,True,True
arrack,stable,True,True
bananas,stable,True,True
beakers,stable,True,True
biscuits,stable,True,True
bitters,stable,True,True
blancmange,stable,True,True
blubber,stable,True,True
brandy,stable,True,True
brimstone,stable,True,True
caddies,stable,True,True
camomile,stable,True,True
cannisters,stable,True,True
caraway,stable,True,True
chango,stable,True,True
cliches,stable,True,True
cochineal,stable,True,True
cocoa,stable,True,True
cocoanut,stable,True,True
cocos,stable,True,True
codfish,stable,True,True
cofee,stable,True,True
coff,stable,True,True
coffe,stable,True,True
coffees,stable,True,True
coffer,stable,True,True
coif,stable,True,True
cokes,stable,True,True
cooked,stable,True,True
cookies,stable,True,True
cranberries,stable,True,True
creams,stable,True,True
currants,stable,True,True
custard,stable,True,True
dainties,stable,True,True
decanter,stable,True,True
dessert,stable,True,True
dollop,stable,True,True
drainer,stable,True,True
drinkers,stable,True,True
flasks,stable,True,True
garlic,stable,True,True
gingerbread,stable,True,True
gooseberries,stable,True,True
grapes,stable,True,True
homemade,stable,True,True
lemonade,stable,True,True
lentils,stable,True,True
linge,stable,True,True
liqueur,stable,True,True
liqueurs,stable,True,True
liquorice,stable,True,True
luncheon,stable,True,True
molasses,stable,True,True
padding,stable,True,True
pastries,stable,True,True
peppers,stable,True,True
platters,stable,True,True
prunes,stable,True,True
puddings,stable,True,True
quaff,stable,True,True
ragout,stable,True,True
saltpetre,stable,True,True
sassafras,stable,True,True
saucer,stable,True,True
savoury,stable,True,True
sherbet,stable,True,True
sipping,stable,True,True
snack,stable,True,True
soup,stable,True,True
spices,stable,True,True
spirituous,stable,True,True
spoonful,stable,True,True
strainer,stable,True,True
suga,stable,True,True
sugar,stable,True,True
sugars,stable,True,True
sugary,stable,True,True
supped,stable,True,True
sweetmeats,stable,True,True
tankard,stable,True,True
tea,stable,True,True
tobacco,stable,True,True
tobaccos,stable,True,True
toffee,stable,True,True
treacle,stable,True,True
turmeric,stable,True,True
wafers,stable,True,True
walnuts,stable,True,True
whisky,stable,True,True
wine,stable,True,True
absinthe,new,False,True
acetate,new,False,True
acetic,new,False,True
acetone,new,False,True
acrid,new,False,True
adulterating,new,False,True
aerated,new,False,True
aftef,new,False,True
aften,new,False,True
akes,new,False,True
albumin,new,False,True
alcoholic,new,False,True
alfalfa,new,False,True
alfresco,new,False,True
alkaloid,new,False,True
allspice,new,False,True
ambergris,new,False,True
ammonium,new,False,True
anas,new,False,True
anchovy,new,False,True
anish,new,False,True
anyways,new,False,True
appetising,new,False,True
appetizing,new,False,True
areally,new,False,True
aromas,new,False,True
aromatic,new,False,True
arrowroot,new,False,True
arsenio,new,False,True
aspic,new,False,True
aspirin,new,False,True
ator,new,False,True
automate,new,False,True
autumns,new,False,True
baccy,new,False,True
banana,new,False,True
bannocks,new,False,True
bauble,new,False,True
beaker,new,False,True
bechamel,new,False,True
bedtime,new,False,True
beef,new,False,True
beefs,new,False,True
beefsteak,new,False,True
beer,new,False,True
belladonna,new,False,True
benzoic,new,False,True
benzoin,new,False,True
beore,new,False,True
bergamot,new,False,True
bespoken,new,False,True
beverage,new,False,True
beverages,new,False,True
bicarbonate,new,False,True
bilges,new,False,True
bilking,new,False,True
billies,new,False,True
biscuit,new,False,True
bismuth,new,False,True
blackcurrant,new,False,True
blackens,new,False,True
blancmanges,new,False,True
blane,new,False,True
blender,new,False,True
boffin,new,False,True
boiled,new,False,True
bonbons,new,False,True
botanic,new,False,True
bottling,new,False,True
bouillon,new,False,True
breads,new,False,True
breakf,new,False,True
breakfast,new,False,True
breakfasted,new,False,True
breakfasts,new,False,True
breaki,new,False,True
brewed,new,False,True
brews,new,False,True
brilliantine,new,False,True
brisket,new,False,True
broiled,new,False,True
broths,new,False,True
bucketful,new,False,True
buckwheat,new,False,True
buffets,new,False,True
bun,new,False,True
buns,new,False,True
burdock,new,False,True
burgundy,new,False,True
burlier,new,False,True
butin,new,False,True
buttermilk,new,False,True
butterscotch,new,False,True
caddy,new,False,True
cadge,new,False,True
cafes,new,False,True
caffeine,new,False,True
cak,new,False,True
cake,new,False,True
cakes,new,False,True
calcined,new,False,True
calomel,new,False,True
camphorated,new,False,True
candelabra,new,False,True
candies,new,False,True
