neighbor,status,in_first,in_last
admixture,stable,True,True
alcohol,stable,True,True
alkaline,stable,True,True
arsenic,stable,True,True
cacao,stable,True,True
combustible,stable,True,True
compounds,stable,True,True
corrosion,stable,True,True
corrosive,stable,True,True
cranberries,stable,True,True
devours,stable,True,True
distilling,stable,True,True
drugs,stable,True,True
endemic,stable,True,True
essences,stable,True,True
evaporating,stable,True,True
excreted,stable,True,True
firearms,stable,True,True
fumigation,stable,True,True
fungus,stable,True,True
homemade,stable,True,True
incantations,stable,True,True
infamously,stable,True,True
infusion,stable,True,True
killers,stable,True,True
knapsacks,stable,True,True
laudanum,stable,True,True
lemony,stable,True,True
logging,stable,True,True
malarial,stable,True,True
nauseous,stable,True,True
nitrates,stable,True,True
opiates,stable,True,True
pawning,stable,True,True
pestilent,stable,True,True
phial,stable,True,True
pilfered,stable,True,True
purge,stable,True,True
purloining,stable,True,True
quantify,stable,True,True
quintessence,stable,True,True
saccharine,stable,True,True
smuggled,stable,True,True
sophisticated,stable,True,True
spirituous,stable,True,True
stagnated,stable,True,True
stimulants,stable,True,True
sublimate,stable,True,True
sulphuric,stable,True,True
swallowing,stable,True,True
sweetmeats,stable,True,True
syrups,stable,True,True
troves,stable,True,True
unadulterated,stable,True,True
unpacked,stable,True,True
unwholesome,stable,True,True
utilities,stable,True,True
vitriol,stable,True,True
wallowing,stable,True,True
abates,new,False,True
abjured,new,False,True
abominate,new,False,True
abomination,new,False,True
abscond,new,False,True
absinthe,new,False,True
absorber,new,False,True
accursed,new,False,True
acetone,new,False,True
acids,new,False,True
acrid,new,False,True
addiction,new,False,True
addicts,new,False,True
aeria,new,False,True
afflicting,new,False,True
aggravation,new,False,True
agreat,new,False,True
albanian,new,False,True
albumin,new,False,True
alcoholic,new,False,True
alkaloid,new,False,True
alleviated,new,False,True
allnight,new,False,True
aluminum,new,False,True
ambrosia,new,False,True
ammoniated,new,False,True
amniotic,new,False,True
amulets,new,False,True
anaesthetics,new,False,True
analogue,new,False,True
anathema,new,False,True
aniline,new,False,True
animas,new,False,True
annoys,new,False,True
antidote,new,False,True
antidotes,new,False,True
antiseptics,new,False,True
antitoxin,new,False,True
apothecary,new,False,True
apparitions,new,False,True
appropriates,new,False,True
aromatic,new,False,True
asphyxiated,new,False,True
asphyxiating,new,False,True
aspirin,new,False,True
astringent,new,False,True
ataxia,new,False,True
atheist,new,False,True
atomic,new,False,True
atrocity,new,False,True
atropine,new,False,True
aussie,new,False,True
austerities,new,False,True
avea,new,False,True
averts,new,False,True
avidly,new,False,True
axilla,new,False,True
aztecs,new,False,True
baccy,new,False,True
bacterial,new,False,True
balsamic,new,False,True
baneful,new,False,True
baobab,new,False,True
barbarity,new,False,True
barbarously,new,False,True
barnacle,new,False,True
barnyard,new,False,True
becalms,new,False,True
belladonna,new,False,True
bellyache,new,False,True
benzene,new,False,True
besmeared,new,False,True
bestiality,new,False,True
bettors,new,False,True
beverages,new,False,True
bismuth,new,False,True
blackmailers,new,False,True
blander,new,False,True
blankness,new,False,True
blipping,new,False,True
bloed,new,False,True
bodine,new,False,True
bogies,new,False,True
boomerang,new,False,True
boozing,new,False,True
bribery,new,False,True
broaching,new,False,True
bromides,new,False,True
bronzing,new,False,True
brutalising,new,False,True
bubonic,new,False,True
bule,new,False,True
bullfinches,new,False,True
burgling,new,False,True
burgundy,new,False,True
butchery,new,False,True
bwana,new,False,True
byproduct,new,False,True
byproducts,new,False,True
caesars,new,False,True
caffeine,new,False,True
caimans,new,False,True
calamine,new,False,True
calculator,new,False,True
caliphate,new,False,True
calomel,new,False,True
camaro,new,False,True
cames,new,False,True
camomile,new,False,True
cancers,new,False,True
cannabis,new,False,True
caped,new,False,True
carbohydrate,new,False,True
carbolic,new,False,True
carbonaceous,new,False,True
carbonic,new,False,True
carlsbad,new,False,True
carthaginians,new,False,True
cascara,new,False,True
casein,new,False,True
cassette,new,False,True
catalepsy,new,False,True
catapult,new,False,True
causal,new,False,True
cellulose,new,False,True
chameleon,new,False,True
changeling,new,False,True
characterless,new,False,True
chastising,new,False,True
cheapens,new,False,True
chemically,new,False,True
chianti,new,False,True
chicory,new,False,True
chimi,new,False,True
chinaman,new,False,True
chinamen,new,False,True
chinatown,new,False,True
chloral,new,False,True
chlorate,new,False,True
chlorine,new,False,True
chloroform,new,False,True
chlorophyll,new,False,True
chocolat,new,False,True
circumcision,new,False,True
circumvented,new,False,True
clacked,new,False,True
clandestine,new,False,True
claptrap,new,False,True
classing,new,False,True
clumping,new,False,True
cocaine,new,False,True
cockroaches,new,False,True
cocktails,new,False,True
coffe,new,False,True
colitis,new,False,True
colonise,new,False,True
coloration,new,False,True
coloring,new,False,True
communally,new,False,True
compassing,new,False,True
compliant,new,False,True
complicity,new,False,True
concocting,new,False,True
concoction,new,False,True
concoctions,new,False,True
condenses,new,False,True
condiments,new,False,True
conformable,new,False,True
connive,new,False,True
connived,new,False,True
conniving,new,False,True
connotes,new,False,True
conserves,new,False,True
consonant,new,False,True
consorted,new,False,True
consumable,new,False,True
contagions,new,False,True
contagious,new,False,True
contaminated,new,False,True
contaminating,new,False,True
contraptions,new,False,True
convulsing,new,False,True
copiously,new,False,True
coracle,new,False,True
cornering,new,False,True
cornrow,new,False,True
corpuscle,new,False,True
corrodes,new,False,True
corroding,new,False,True
corrupted,new,False,True
cosmetic,new,False,True
cosmetics,new,False,True
cosset,new,False,True
costliest,new,False,True
cottonseed,new,False,True
counteracts,new,False,True
cowpox,new,False,True
crofters,new,False,True
crushers,new,False,True
crystallized,new,False,True
cubicle,new,False,True
cueing,new,False,True
cultures,new,False,True
curdled,new,False,True
curdling,new,False,True
cutaneous,new,False,True
cyanide,new,False,True
dabbling,new,False,True
damming,new,False,True
damnable,new,False,True
dampens,new,False,True
daunts,new,False,True
deaden,new,False,True
deadliest,new,False,True
debased,new,False,True
debasing,new,False,True
debauchery,new,False,True
deceits,new,False,True
decimating,new,False,True
decomposing,new,False,True
decomposition,new,False,True
decoy,new,False,True
deface,new,False,True
defilement,new,False,True
deleterious,new,False,True
demoralising,new,False,True
demoralized,new,False,True
denatured,new,False,True
deodorant,new,False,True
depressant,new,False,True
deprives,new,False,True
derivatives,new,False,True
destr,new,False,True
determinist,new,False,True
develope,new,False,True
developers,new,False,True
devilry,new,False,True
diabetes,new,False,True
dialed,new,False,True
dianne,new,False,True
didactic,new,False,True
digests,new,False,True
digitalis,new,False,True
digressing,new,False,True
dilute,new,False,True
dilutes,new,False,True
