neighbor,status,in_first,in_last
adulterate,stable,True,True
adulterated,stable,True,True
adulteration,stable,True,True
allspice,stable,True,True
almonds,stable,True,True
apples,stable,True,True
apricots,stable,True,True
avoirdupois,stable,True,True
baking,stable,True,True
bananas,stable,True,True
barley,stable,True,True
basins,stable,True,True
beeswax,stable,True,True
biscuits,stable,True,True
blancmange,stable,True,True
blubber,stable,True,True
boiled,stable,True,True
boiling,stable,True,True
borax,stable,True,True
brandy,stable,True,True
bread,stable,True,True
brimstone,stable,True,True
brisket,stable,True,True
butter,stable,True,True
buttered,stable,True,True
candied,stable,True,True
candies,stable,True,True
carbonate,stable,True,True
cayenne,stable,True,True
celery,stable,True,True
cheese,stable,True,True
cherries,stable,True,True
chicory,stable,True,True
chocolate,stable,True,True
chocolates,stable,True,True
cinnamon,stable,True,True
cloves,stable,True,True
cochineal,stable,True,True
codfish,stable,True,True
coff,stable,True,True
coffe,stable,True,True
coffee,stable,True,True
coffees,stable,True,True
cokes,stable,True,True
commodity,stable,True,True
cranberries,stable,True,True
crumbs,stable,True,True
crushers,stable,True,True
cucumber,stable,True,True
currant,stable,True,True
currants,stable,True,True
cutlets,stable,True,True
dainties,stable,True,True
diluted,stable,True,True
distilled,stable,True,True
distilling,stable,True,True
evaporating,stable,True,True
fermented,stable,True,True
figs,stable,True,True
firkin,stable,True,True
flavors,stable,True,True
flaxseed,stable,True,True
flour,stable,True,True
gingerbread,stable,True,True
gooseberries,stable,True,True
grater,stable,True,True
gravy,stable,True,True
grilling,stable,True,True
groceries,stable,True,True
gruyere,stable,True,True
hempseed,stable,True,True
hogshead,stable,True,True
invoiced,stable,True,True
jellies,stable,True,True
legumes,stable,True,True
lemonade,stable,True,True
lentils,stable,True,True
liquids,stable,True,True
liquorice,stable,True,True
loaves,stable,True,True
macaroni,stable,True,True
maize,stable,True,True
mangoes,stable,True,True
mashing,stable,True,True
molasses,stable,True,True
muriatic,stable,True,True
muscatel,stable,True,True
mustards,stable,True,True
nutmeg,stable,True,True
oatmeal,stable,True,True
onions,stable,True,True
oranges,stable,True,True
oysters,stable,True,True
parboiled,stable,True,True
parmesan,stable,True,True
parsnip,stable,True,True
pastries,stable,True,True
peaches,stable,True,True
pepper,stable,True,True
peppers,stable,True,True
phosphate,stable,True,True
pigment,stable,True,True
pips,stable,True,True
plums,stable,True,True
porridge,stable,True,True
potash,stable,True,True
powdered,stable,True,True
prunes,stable,True,True
puddings,stable,True,True
pumice,stable,True,True
quanti,stable,True,True
quantify,stable,True,True
raisins,stable,True,True
rashers,stable,True,True
raspberry,stable,True,True
retailer,stable,True,True
retailing,stable,True,True
rhubarb,stable,True,True
sago,stable,True,True
salt,stable,True,True
salted,stable,True,True
saltpetre,stable,True,True
sardines,stable,True,True
sassafras,stable,True,True
savoury,stable,True,True
seasoning,stable,True,True
shavings,stable,True,True
sherbet,stable,True,True
sixpenny,stable,True,True
skimmed,stable,True,True
spermaceti,stable,True,True
spices,stable,True,True
spirituous,stable,True,True
spoonfuls,stable,True,True
sprinkle,stable,True,True
starch,stable,True,True
strawberries,stable,True,True
suga,stable,True,True
sugars,stable,True,True
sulphuric,stable,True,True
sweetmeats,stable,True,True
tablespoons,stable,True,True
tankards,stable,True,True
tapioca,stable,True,True
tenpence,stable,True,True
treacle,stable,True,True
turmeric,stable,True,True
turpentine,stable,True,True
vermicelli,stable,True,True
wafers,stable,True,True
walnuts,stable,True,True
acetate,new,False,True
acetic,new,False,True
acetone,new,False,True
add,new,False,True
adil,new,False,True
airtight,new,False,True
albumen,new,False,True
albumin,new,False,True
alfalfa,new,False,True
aluminum,new,False,True
ambrosia,new,False,True
ammonia,new,False,True
ammoniated,new,False,True
ammonium,new,False,True
anchovies,new,False,True
anchovy,new,False,True
andso,new,False,True
angelica,new,False,True
appetizing,new,False,True
arnica,new,False,True
aromatic,new,False,True
arrowroot,new,False,True
artichokes,new,False,True
artificials,new,False,True
asparagus,new,False,True
aspic,new,False,True
aspirin,new,False,True
auger,new,False,True
augur,new,False,True
baccy,new,False,True
bacon,new,False,True
bailing,new,False,True
banana,new,False,True
bannocks,new,False,True
basin,new,False,True
basted,new,False,True
batter,new,False,True
beefsteak,new,False,True
beeped,new,False,True
beetroot,new,False,True
belling,new,False,True
benzine,new,False,True
benzoic,new,False,True
benzoin,new,False,True
beore,new,False,True
bergamot,new,False,True
bespoken,new,False,True
beverages,new,False,True
bicarbonate,new,False,True
biking,new,False,True
bilking,new,False,True
bismuth,new,False,True
bitumen,new,False,True
blackberries,new,False,True
blackberry,new,False,True
blackcurrant,new,False,True
blacking,new,False,True
blackstrap,new,False,True
blancmanges,new,False,True
blane,new,False,True
boda,new,False,True
boding,new,False,True
boil,new,False,True
bonbons,new,False,True
boney,new,False,True
bopped,new,False,True
boracic,new,False,True
boric,new,False,True
bottling,new,False,True
boz,new,False,True
breadcrumb,new,False,True
breadcrumbs,new,False,True
breads,new,False,True
brews,new,False,True
broiled,new,False,True
broths,new,False,True
browned,new,False,True
bucketful,new,False,True
bucketfuls,new,False,True
buckwheat,new,False,True
buns,new,False,True
burdock,new,False,True
burgundy,new,False,True
butte,new,False,True
buttermilk,new,False,True
butterscotch,new,False,True
caffeine,new,False,True
cake,new,False,True
cakes,new,False,True
calcined,new,False,True
calcium,new,False,True
calomel,new,False,True
calories,new,False,True
camembert,new,False,True
camomile,new,False,True
camphor,new,False,True
camphorated,new,False,True
candy,new,False,True
canister,new,False,True
caper,new,False,True
capful,new,False,True
capons,new,False,True
capsicum,new,False,True
caramels,new,False,True
caraway,new,False,True
carbide,new,False,True
carbo,new,False,True
carbohydrate,new,False,True
carbohydrates,new,False,True
carbolic,new,False,True
carbonated,new,False,True
carload,new,False,True
carlsbad,new,False,True
carrot,new,False,True
cascara,new,False,True
casein,new,False,True
casserole,new,False,True
casseroles,new,False,True
caster,new,False,True
castile,new,False,True
castor,new,False,True
catsup,new,False,True
caviare,new,False,True
cellulose,new,False,True
cereal,new,False,True
cereals,new,False,True
chango,new,False,True
charcoal,new,False,True
chees,new,False,True
cheesecakes,new,False,True
chilies,new,False,True
chillies,new,False,True
chlorate,new,False,True
chloride,new,False,True
chlorinated,new,False,True
chlorophyll,new,False,True
choco,new,False,True
chocolat,new,False,True
chopped,new,False,True
chops,new,False,True
chunks,new,False,True
churn,new,False,True
churned,new,False,True
chutney,new,False,True
cinchona,new,False,True
citric,new,False,True
citron,new,False,True
clarified,new,False,True
clarify,new,False,True
cleavers,new,False,True
coagulates,new,False,True
coarsely,new,False,True
cockles,new,False,True
coco,new,False,True
cocoanut,new,False,True
coconut,new,False,True
coffer,new,False,True
colander,new,False,True
combos,new,False,True
compost,new,False,True
compote,new,False,True
condensed,new,False,True
condiments,new,False,True
confections,new,False,True
consomme,new,False,True
containers,new,False,True
cooked,new,False,True
cookies,new,False,True
copier,new,False,True
copra,new,False,True
coriander,new,False,True
cornflour,new,False,True
cornstarch,new,False,True
cottonseed,new,False,True
craps,new,False,True
cream,new,False,True
creamed,new,False,True
creamy,new,False,True
creosote,new,False,True
crinkle,new,False,True
croquette,new,False,True
croquettes,new,False,True
croutons,new,False,True
cruets,new,False,True
crumb,new,False,True
crumbed,new,False,True
crumble,new,False,True
crumbly,new,False,True
crumpets,new,False,True
crust,new,False,True
crusts,new,False,True
crystalized,new,False,True
crystallised,new,False,True
crystallized,new,False,True
cubes,new,False,True
cupful,new,False,True
curd,new,False,True
curdle,new,False,True
curdled,new,False,True
curdles,new,False,True
curds,new,False,True
curries,new,False,True
cusps,new,False,True
dari,new,False,True
decanter,new,False,True
decoction,new,False,True
decomposes,new,False,True
delicacies,new,False,True
deliciousness,new,False,True
deodorizer,new,False,True
desiccated,new,False,True
dessert,new,False,True
dextrose,new,False,True
dialled,new,False,True
digestible,new,False,True
dilute,new,False,True
disgorging,new,False,True
dish,new,False,True
dishcloth,new,False,True
dishes,new,False,True
dishpan,new,False,True
disinter,new,False,True
displaces,new,False,True
dissolve,new,False,True
dissolved,new,False,True
dissolving,new,False,True
dorne,new,False,True
dough,new,False,True
doughnuts,new,False,True
doughy,new,False,True
dozes,new,False,True
dredge,new,False,True
dredged,new,False,True
dried,new,False,True
dripping,new,False,True
drippings,new,False,True
dryers,new,False,True
dumpling,new,False,True
dumplings,new,False,True
earplug,new,False,True
eatable,new,False,True
edd,new,False,True
edible,new,False,True
edibles,new,False,True
eeg,new,False,True
egg,new,False,True
egga,new,False,True
eggless,new,False,True
eggo,new,False,True
eggs,new,False,True
eggshells,new,False,True
elderberry,new,False,True
elderflower,new,False,True
electroplated,new,False,True
emollients,new,False,True
emulsified,new,False,True
endive,new,False,True
entrees,new,False,True
equates,new,False,True
eucalyptus,new,False,True
evaporate,new,False,True
evaporated,new,False,True
evaporates,new,False,True
factored,new,False,True
farthings,new,False,True
ferment,new,False,True
fertiliser,new,False,True
fertilisers,new,False,True
fillets,new,False,True
firelighters,new,False,True
fixation,new,False,True
fizzed,new,False,True
flaked,new,False,True
flakey,new,False,True
flaky,new,False,True
flavoring,new,False,True
flavoured,new,False,True
flavouring,new,False,True
flavourings,new,False,True
flavours,new,False,True
fluidity,new,False,True
fondue,new,False,True
foodstuff,new,False,True
foodstuffs,new,False,True
forcemeat,new,False,True
formalin,new,False,True
fourpenny,new,False,True
frankincense,new,False,True
freemans,new,False,True
freezer,new,False,True
freezers,new,False,True
fritters,new,False,True
frizzled,new,False,True
frosting,new,False,True
froth,new,False,True
frothed,new,False,True
frothy,new,False,True
fruit,new,False,True
frying,new,False,True
garlic,new,False,True
garnish,new,False,True
garnished,new,False,True
garnishing,new,False,True
gelatin,new,False,True
gelatine,new,False,True
germinates,new,False,True
gherkins,new,False,True
giblets,new,False,True
gills,new,False,True
ginger,new,False,True
glassful,new,False,True
glaze,new,False,True
glucose,new,False,True
gluten,new,False,True
gluttons,new,False,True
glycerin,new,False,True
glycerine,new,False,True
gobbled,new,False,True
goingto,new,False,True
goodo,new,False,True
gooks,new,False,True
gooseberry,new,False,True
gorgonzola,new,False,True
granulated,new,False,True
granules,new,False,True
grape,new,False,True
grapes,new,False,True
grated,new,False,True
gratin,new,False,True
griddle,new,False,True
grilled,new,False,True
gruel,new,False,True
guano,new,False,True
guiltier,new,False,True
gulps,new,False,True
gummy,new,False,True
gutta,new,False,True
hairbrush,new,False,True
halibut,new,False,True
halved,new,False,True
handfuls,new,False,True
hardboiled,new,False,True
haricot,new,False,True
haricots,new,False,True
heaped,new,False,True
heaping,new,False,True
hellebore,new,False,True
helpings,new,False,True
hemlock,new,False,True
henbane,new,False,True
hesh,new,False,True
hilling,new,False,True
homegrown,new,False,True
honey,new,False,True
horlicks,new,False,True
horseradish,new,False,True
hubbies,new,False,True
hundredths,new,False,True
hundredweight,new,False,True
husk,new,False,True
husks,new,False,True
hydrate,new,False,True
hydrates,new,False,True
hydrocarbon,new,False,True
hydrochloric,new,False,True
hypo,new,False,True
icecream,new,False,True
icing,new,False,True
immerse,new,False,True
immersing,new,False,True
inari,new,False,True
incisions,new,False,True
indigestible,new,False,True
infuser,new,False,True
ingredients,new,False,True
inhaler,new,False,True
intu,new,False,True
invert,new,False,True
irwins,new,False,True
isinglass,new,False,True
jam,new,False,True
jani,new,False,True
jar,new,False,True
jars,new,False,True
jellied,new,False,True
jelly,new,False,True
jibs,new,False,True
jug,new,False,True
juice,new,False,True
juicy,new,False,True
juke,new,False,True
jumbles,new,False,True
kach,new,False,True
kedgeree,new,False,True
kernel,new,False,True
kernels,new,False,True
kerosene,new,False,True
ketchup,new,False,True
kido,new,False,True
kilowatt,new,False,True
kipper,new,False,True
kirsch,new,False,True
knead,new,False,True
kneaded,new,False,True
kneading,new,False,True
lactic,new,False,True
lastly,new,False,True
leftover,new,False,True
leftovers,new,False,True
lemon,new,False,True
lentil,new,False,True
lettuces,new,False,True
licorice,new,False,True
liquefied,new,False,True
liquefy,new,False,True
loaf,new,False,True
loganberry,new,False,True
lollipops,new,False,True
lollypop,new,False,True
lucca,new,False,True
lukewarm,new,False,True
lumps,new,False,True
lysol,new,False,True
macaroon,new,False,True
macaroons,new,False,True
maggots,new,False,True
magnesium,new,False,True
mandrake,new,False,True
mangos,new,False,True
