neighbor,status,in_first,in_last
annd,stable,True,True
annus,stable,True,True
asocial,stable,True,True
bagmen,stable,True,True
biscuits,stable,True,True
cabo,stable,True,True
caddies,stable,True,True
childre,stable,True,True
cohere,stable,True,True
dainties,stable,True,True
decanter,stable,True,True
dessert,stable,True,True
dieser,stable,True,True
dogleg,stable,True,True
dopes,stable,True,True
dork,stable,True,True
drinkers,stable,True,True
drinks,stable,True,True
einen,stable,True,True
fermented,stable,True,True
gaing,stable,True,True
glares,stable,True,True
goblets,stable,True,True
grog,stable,True,True
gruel,stable,True,True
hust,stable,True,True
iraqi,stable,True,True
liqueur,stable,True,True
lked,stable,True,True
luncheon,stable,True,True
mirada,stable,True,True
mouthful,stable,True,True
mugs,stable,True,True
mutants,stable,True,True
myrrh,stable,True,True
napkins,stable,True,True
noggin,stable,True,True
pimento,stable,True,True
platter,stable,True,True
platters,stable,True,True
poon,stable,True,True
quaff,stable,True,True
racism,stable,True,True
ragout,stable,True,True
refreshment,stable,True,True
regaling,stable,True,True
repacked,stable,True,True
rummage,stable,True,True
sabers,stable,True,True
salads,stable,True,True
saucers,stable,True,True
savior,stable,True,True
senna,stable,True,True
shyer,stable,True,True
sibling,stable,True,True
sipped,stable,True,True
sipping,stable,True,True
sirloin,stable,True,True
smokes,stable,True,True
sobers,stable,True,True
soiree,stable,True,True
spoonful,stable,True,True
spoonfuls,stable,True,True
spoons,stable,True,True
sweetmeats,stable,True,True
swills,stable,True,True
synch,stable,True,True
tankard,stable,True,True
tastier,stable,True,True
teapot,stable,True,True
teu,stable,True,True
toasting,stable,True,True
toddy,stable,True,True
treys,stable,True,True
tureen,stable,True,True
twisty,stable,True,True
urns,stable,True,True
utensil,stable,True,True
aboit,new,False,True
absinthe,new,False,True
adenine,new,False,True
adjourning,new,False,True
adso,new,False,True
aerating,new,False,True
aftef,new,False,True
aften,new,False,True
aish,new,False,True
akio,new,False,True
alfresco,new,False,True
alook,new,False,True
alos,new,False,True
altair,new,False,True
anas,new,False,True
andrei,new,False,True
anish,new,False,True
aniversary,new,False,True
anni,new,False,True
anniversaries,new,False,True
anteroom,new,False,True
appetising,new,False,True
appetizing,new,False,True
arcane,new,False,True
areou,new,False,True
arive,new,False,True
arrack,new,False,True
arrangers,new,False,True
arranges,new,False,True
arrowroot,new,False,True
arsenio,new,False,True
arun,new,False,True
aspic,new,False,True
assays,new,False,True
asthe,new,False,True
athenaeum,new,False,True
auditorium,new,False,True
axial,new,False,True
babi,new,False,True
baccy,new,False,True
bachelors,new,False,True
ballrooms,new,False,True
banco,new,False,True
bannocks,new,False,True
banquet,new,False,True
banqueting,new,False,True
banquets,new,False,True
barfly,new,False,True
barmaids,new,False,True
bauble,new,False,True
beaker,new,False,True
beakers,new,False,True
beanies,new,False,True
beefed,new,False,True
beefsteak,new,False,True
beekeeping,new,False,True
beki,new,False,True
belling,new,False,True
benedicts,new,False,True
benford,new,False,True
beore,new,False,True
bernd,new,False,True
bespoken,new,False,True
beverages,new,False,True
bidders,new,False,True
biennial,new,False,True
biff,new,False,True
billies,new,False,True
bisect,new,False,True
bitty,new,False,True
bivouac,new,False,True
blane,new,False,True
boffin,new,False,True
bonbon,new,False,True
bonbons,new,False,True
bongo,new,False,True
boog,new,False,True
bootees,new,False,True
boozing,new,False,True
botch,new,False,True
bottling,new,False,True
bouillon,new,False,True
bountiful,new,False,True
bracer,new,False,True
breads,new,False,True
breakf,new,False,True
breakfast,new,False,True
breakfasted,new,False,True
breakfasts,new,False,True
breaki,new,False,True
bringin,new,False,True
brownies,new,False,True
buffet,new,False,True
buns,new,False,True
bures,new,False,True
butin,new,False,True
caching,new,False,True
caddy,new,False,True
cadge,new,False,True
caed,new,False,True
caer,new,False,True
caf,new,False,True
cafes,new,False,True
caffeine,new,False,True
cak,new,False,True
calabash,new,False,True
canceled,new,False,True
candelabra,new,False,True
candies,new,False,True
cannisters,new,False,True
cantatas,new,False,True
canteen,new,False,True
cantons,new,False,True
captions,new,False,True
caraway,new,False,True
carioca,new,False,True
carnivals,new,False,True
carre,new,False,True
casinos,new,False,True
casserole,new,False,True
catnip,new,False,True
cautery,new,False,True
cavort,new,False,True
ccan,new,False,True
censer,new,False,True
certo,new,False,True
cession,new,False,True
cetera,new,False,True
chalet,new,False,True
chantent,new,False,True
chare,new,False,True
chees,new,False,True
cheesecakes,new,False,True
cheon,new,False,True
chers,new,False,True
chianti,new,False,True
chicory,new,False,True
chides,new,False,True
chidren,new,False,True
chien,new,False,True
chier,new,False,True
childen,new,False,True
chiseler,new,False,True
chive,new,False,True
choco,new,False,True
chocolat,new,False,True
chocolates,new,False,True
choirboys,new,False,True
chol,new,False,True
chola,new,False,True
chrism,new,False,True
christening,new,False,True
christmastime,new,False,True
churching,new,False,True
chut,new,False,True
cigaret,new,False,True
cind,new,False,True
cladding,new,False,True
claque,new,False,True
classroom,new,False,True
cleen,new,False,True
clemen,new,False,True
cliches,new,False,True
closers,new,False,True
clowning,new,False,True
clubhouse,new,False,True
clubroom,new,False,True
clucks,new,False,True
clueing,new,False,True
cockfight,new,False,True
coff,new,False,True
coffe,new,False,True
coffee,new,False,True
coffees,new,False,True
coffer,new,False,True
cokes,new,False,True
collation,new,False,True
collator,new,False,True
collegium,new,False,True
colonist,new,False,True
comme,new,False,True
