neighbor,status,in_first,in_last
apricots,stable,True,True
baileys,stable,True,True
bananas,stable,True,True
biscuits,stable,True,True
bladders,stable,True,True
blubber,stable,True,True
brimstone,stable,True,True
candies,stable,True,True
canister,stable,True,True
caskets,stable,True,True
chocolate,stable,True,True
cigar,stable,True,True
codfish,stable,True,True
combustibles,stable,True,True
commodity,stable,True,True
compasses,stable,True,True
corks,stable,True,True
cranberries,stable,True,True
dainties,stable,True,True
distilled,stable,True,True
distilling,stable,True,True
drinkable,stable,True,True
evaporating,stable,True,True
exportation,stable,True,True
fermented,stable,True,True
firkin,stable,True,True
flask,stable,True,True
flasks,stable,True,True
fusty,stable,True,True
garnets,stable,True,True
gingerbread,stable,True,True
glutted,stable,True,True
groceries,stable,True,True
gruyere,stable,True,True
handfuls,stable,True,True
handlers,stable,True,True
haversack,stable,True,True
hogshead,stable,True,True
homemade,stable,True,True
horseshoes,stable,True,True
ingots,stable,True,True
isinglass,stable,True,True
knapsacks,stable,True,True
liqueur,stable,True,True
liqueurs,stable,True,True
liquorice,stable,True,True
lobsters,stable,True,True
magnets,stable,True,True
mangoes,stable,True,True
molasses,stable,True,True
mouthful,stable,True,True
oranges,stable,True,True
oysters,stable,True,True
pastries,stable,True,True
peppers,stable,True,True
perfumery,stable,True,True
pickers,stable,True,True
pickled,stable,True,True
pipe,stable,True,True
pocketbooks,stable,True,True
pomegranates,stable,True,True
portmanteau,stable,True,True
pouch,stable,True,True
prunes,stable,True,True
pumpkins,stable,True,True
purloined,stable,True,True
purloining,stable,True,True
quantifies,stable,True,True
quantify,stable,True,True
ragout,stable,True,True
rashers,stable,True,True
sardines,stable,True,True
scoops,stable,True,True
servers,stable,True,True
shavings,stable,True,True
shipper,stable,True,True
sipped,stable,True,True
sipping,stable,True,True
snuff,stable,True,True
spirituous,stable,True,True
sponges,stable,True,True
sprats,stable,True,True
sprits,stable,True,True
stacking,stable,True,True
storehouses,stable,True,True
strawberries,stable,True,True
sugars,stable,True,True
sweepings,stable,True,True
