rank,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s
1,cochineal,cocos,cocos,spices,cocos,cocos,cocos,cocos,cocos,cocos,cocos,cocos
2,oranges,pimento,pimento,cocos,molasses,coffee,epps,epps,coco,coco,coco,coffe
3,indigo,currants,sassafras,pimento,pimento,tapioca,coffee,coco,epps,comforting,epps,coffee
4,turmeric,molasses,casks,molasses,cinnamon,spices,coco,cacao,caracas,nib,nutritious,caffeine
5,almonds,cinnamon,cinnamon,ginger,saltpetre,pimento,soluble,comforting,coca,vi,beverage,delicious
6,liqueurs,indigo,cochineal,indigo,spices,sugars,cassava,chocolate,chocolate,chocolate,nutritive,mogul
7,prunes,spices,madder,sugar,mocha,saltpetre,aroma,marseille,forting,epps,coffe,porridge
8,sarsaparilla,raisins,ginger,raisins,pepper,raisins,spices,forting,comforting,unadulterated,delicious,biscuits
9,linseed,flaxseed,tamarinds,coco,bagi,cochineal,tapioca,coma,essence,coma,coffee,deliciousness
10,bales,potash,sugar,pepper,tapioca,tobacco,pimento,milky,locos,beverage,beverages,glassful
11,nuts,almonds,coco,cochineal,ginger,molasses,cacao,quint,coma,coons,flavour,coffees
12,liquorice,bales,saltpetre,saltpetre,nut,sugar,matting,experimentalist,toffee,nutritious,nourishing,arrowroot
13,tamarinds,casks,almonds,suga,coffee,sago,nut,coca,flips,kola,digestible,sweetmeat
14,pimento,horsehair,arrack,rum,peppe,cinnamon,fibre,fibre,matting,sustaining,palatable,blancmange
15,turpentine,tamarinds,tapioca,turmeric,currants,mocha,aromatics,coons,essen,nili,foods,coco
16,molasses,codfish,turmeric,arrack,suga,ginger,saltpetre,eres,coons,forting,epicure,chicory
17,saltpetre,sweetmeats,molasses,sugars,indigo,arrowroot,tea,breakfast,ordinarily,coffee,porridge,horlicks
18,sweetmeats,liquorice,spices,mids,olive,oils,molasses,trinidad,fry,breakfast,chicory,appetizing
19,cashew,sassafras,chocolate,flaxseed,cassia,olive,sugars,errs,thickens,leverage,malted,beverage
20,sugars,tamarind,hags,coffees,plantation,shellac,turmeric,beverage,cova,foods,food,unadulterated
21,blubber,woollens,bags,casks,casks,tamarinds,chicory,locos,cocci,flavor,nutriment,chocolate
22,galls,tobacco,mids,bags,arrowroot,casks,coffe,essence,sustaining,coffe,jellies,saccharin
23,berries,broody,galls,cassia,oils,coffe,sago,quintessence,cacao,van,nourishes,choco
24,madder,invoiced,flaxseed,bigs,cochineal,toffee,beverage,tamarinds,archy,primordial,assimilated,beverages
25,coffees,brimstone,indigo,treacle,treacle,gedda,plantains,nibs,whichis,hermetically,refreshing,macaroons
26,plumbs,cochineal,brimstone,cloves,mangoes,liquorice,rice,soluble,coffee,nourishing,coffees,lemonade
27,apricots,mangoes,cloves,plantation,syrups,rice,nutmeg,drinkers,breakfast,utely,condiment,coona
28,potash,quintals,tamarind,mento,sago,peppe,bap,gve,puro,digestible,forting,sweetening
29,tamarind,kilograms,tobacco,unrefined,flaxseed,rum,toffee,coffe,router,refreshing,soluble,fruitarian
30,cocos,cranberries,prunes,cinnamon,sugar,kernels,sassafras,matting,coffer,aroma,wholesome,saccharine
31,chocolate,arrack,cassia,sago,linseed,bagi,arrowroot,chicory,bean,possessing,dietetic,sandwiches
32,corks,pickled,bananas,grocery,cannisters,treacle,suet,hemp,fibre,nourishment,cereal,molasses
33,cardamom,cloves,sweepings,vermicelli,rum,cloves,nutritive,manila,coa,chicory,detergent,nourishing
34,spices,repacked,raisins,peas,nux,chicory,unrefined,nut,purr,ingredients,flavor,appetising
35,cloves,liqueurs,cannisters,nutmeg,candied,brandy,semolina,coa,nutritive,food,coffer,caramels
36,arrack,quicksilver,muscatel,currants,madder,oil,cochineal,sugars,exhilarating,roiling,nute,rissoles
37,bides,biscuits,bagi,hags,bags,indigo,nuts,thorough,coffees,grateful,unadulterated,margarine
38,currants,turmeric,plantains,tobacco,shellac,suga,nutritious,coif,superfluous,cocci,digests,sardines
39,zoon,isinglass,pepper,bagi,popper,bigs,cocci,properties,grateful,insipid,chocolate,macaroon
40,tobacco,nuts,turpentine,senna,sumac,fibre,pistachio,flips,teats,coca,invigorating,carbohydrate
41,cinnamon,saltpetre,concrete,candied,isinglass,flaxseed,confectionary,coffees,pare,purr,coff,unsweetened
42,assorted,seger,pulverised,figs,mucilage,arrack,errs,coe,duality,product,lancet,flavour
43,mangoes,quintal,sausages,tapioca,stiffer,plantains,edibles,cac,sence,fibre,nicest,vanilla
44,cranberries,blubber,bigs,muscatel,poppy,nitrate,nibs,lentils,sugar,alkali,teas,stewing
45,quintals,muscatel,bristles,unsorted,hempseed,semolina,liquorice,delicately,coffe,tests,chemicals,flavours
46,borax,upland,toffee,jamaican,hags,jute,breakfast,toffee,ordering,tea,cak,aspirin
47,pepper,nicaragua,biscuit,tamarind,nutmeg,turpentine,shellac,sugar,pukes,recommending,voz,overweight
48,casks,plumbs,cocoanut,sales,rice,matting,peppers,quintals,granulated,pure,wholesomeness,chocolat
49,tobaccos,barrels,bales,sumac,licorice,brimstone,coff,sago,pure,refresher,lemonade,mincemeat
50,kian,sampler,vermicelli,crystallised,chicory,plantation,consumers,indigenous,digestible,kolo,digested,fluidity
51,treacle,puds,liquorice,mocha,turmeric,ipecac,decoction,pineapple,anchovies,soluble,relishes,doughnuts
52,brimstone,nectarines,coffee,soluble,hemp,crystallized,syrups,mats,errs,absolutely,nourishment,kola
53,cauliflowers,brandies,peppermint,arrowroot,rica,nuts,chocolate,pistachio,zips,concentrated,assimilates,spirituous
54,pomegranate,dogwood,tobaccos,peppe,sperm,palm,coma,unrefined,essences,cova,muffins,freemans
55,pilchards,sugars,sugars,coff,aromatics,cassava,pepper,nutritive,concentrated,nih,grape,soups
56,bristles,pepper,lemonade,uncertified,jaya,currants,gedda,labelled,analysts,lipton,breakfast,firkin
57,fuser,grocery,teaspoonful,coffe,crystallized,snuffs,ginger,thickens,shies,sustains,ambrosia,sweetmeats
58,mids,vermicelli,sago,gedda,nitrate,coffees,coffees,mara,comport,roasted,ingredient,fermented
59,lugar,tapioca,sweetened,refilled,cassava,linseed,tractive,porridge,treacle,coff,chivers,nutrient
60,sailcloth,antimony,codfish,husks,raisins,borax,flaxseed,arrowroot,drinkers,delicious,bread,ketchup
