rank,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s
1,cofee,coffer,cofee,coffeehouse,coffe,coffe,coffe,toffee,coffer,tea,tea,coffe
2,coffe,coffeehouse,coffeehouse,coff,coff,toffee,toffee,coffe,coffe,coffe,coff,tea
3,caffee,coff,coffe,coffe,toffee,coff,rice,tea,coff,coff,coffe,coffees
4,coff,cofee,caffee,corolla,sugar,sugar,coff,coffer,tea,coffer,coffer,cofee
5,chango,cutaway,toffee,mincing,spices,tobacco,molasses,coff,tavern,buns,breakfast,homecooked
6,coffeehouse,alky,coffer,tea,cocoa,cocoa,saltpetre,sugar,chicory,tavern,chicory,sandwiches
7,toffee,sugar,coff,sugar,molasses,spices,sugar,cannister,toffee,souchong,roasters,porridge
8,alky,coffe,cutaway,cocos,tea,chicory,tobacco,cannisters,taverns,breakfast,supper,chicory
9,giveaway,chango,alky,coffees,plantation,tea,tea,chicory,coif,cannister,muffins,delicious
10,cutaway,pimento,sugar,muffins,mocha,ginger,tapioca,treacle,teas,chicory,sandwiches,unsweetened
11,collie,toffee,taverna,cocoa,arrowroot,arrack,sherbet,taverns,sugar,partaken,luncheon,sipping
12,cocoa,coffees,caraway,spices,popper,sugars,confectionary,urns,sipping,supper,drinkable,muffins
13,sugar,caffee,clunge,toffee,cocos,cochineal,rum,suga,coffees,cannisters,porridge,percolator
14,indigo,clunge,cocoa,waitress,cannisters,cinnamon,jute,sandwiches,muffin,sandwiches,sevres,cocoa
15,coffer,molasses,appraising,restaurateurs,tapioca,pimento,pimento,teapots,essences,dinner,teas,arrowroot
16,biggins,sugars,castaway,chop,saltpetre,semolina,cigars,teas,tess,planter,bouillon,breakfast
17,cochineal,spices,ohange,coffeehouses,pepper,raisins,ginger,hydrostatic,cannisters,regaled,scones,sipped
18,cocos,castaway,thruway,coffer,sugars,rice,spices,eatables,cruets,coffi,partaken,mincemeat
19,cornball,indigo,indigo,eating,cochineal,saltpetre,sugars,saucers,cruet,roasts,partaking,choco
20,roasters,pepper,collie,alley,indigo,shellfish,sassafras,breakfast,suga,taverns,regaling,mayonnaise
21,tobacco,giveaway,sherbet,american,cinnamon,calabash,plantation,tpa,teapot,sipping,pancakes,mouthfuls
22,alley,tamarind,getaway,tobacco,bagi,vermicelli,arrack,nickle,drinkable,regaling,roasted,decoction
23,warmers,refiners,confectionery,nutmeg,chicory,molasses,wine,spices,refreshment,refresh,epicure,appetising
24,coffi,refining,giveaway,zane,bugs,wine,unrefined,peelers,codes,desserts,drinks,drinks
25,lemonade,caraway,cinnamon,noster,tobacco,brandy,pancakes,waiters,roasted,sherbet,lunch,chutney
26,buddies,repacked,coffees,rum,suga,fruit,fruit,coffeehouse,buns,sipped,victuals,cookies
27,caraway,saltpetre,cabarets,pater,isinglass,peppe,shellac,molasses,supper,collation,cocoa,quaff
28,boules,getaway,cocos,americas,coffi,currants,treacle,sweetmeats,arrack,teas,essences,appetizing
29,strugglers,taverns,sugars,bigs,currants,mocha,bagi,supping,afree,teapot,dinner,caffeine
30,corolla,tobacco,coffeehouses,plantation,butter,homemade,refreshment,teaspoons,tsa,refreshment,butters,cruets
31,pepper,cocoa,gimbal,sugars,coffeehouse,rum,repacked,cheese,breakfast,drinkable,partake,tasted
32,ohange,broody,refinery,ginger,rice,uncooked,auctions,refreshment,coca,luncheon,dumplings,biscuits
33,pimento,cinnamon,almonds,dairies,coffer,candied,sago,tamarinds,dandelion,paraguay,sherbet,pineapple
34,refiners,seger,muscatel,rater,rum,plantains,turmeric,dieing,sipped,drink,tavern,molasses
35,liqueurs,coffeehouses,underwriter,molasses,pimento,coffees,cheese,dessert,toddy,tpa,slakes,refresher
36,piazza,coffey,corals,pimento,candied,confoundedly,suga,cupful,salmons,suga,sipped,buttermilk
37,oranges,underwrite,taverns,biggins,grapes,beer,smoking,coffees,partaking,sugar,coffees,bitters
38,fuser,repack,lemonade,henshaw,ginger,adulterate,chees,edibles,cups,cafes,sipping,breads
39,calcining,liquorice,arrack,ale,treacle,kernels,roasters,canteens,cannister,partaking,caramel,cheesecakes
40,arrack,flaxseed,mache,arrack,java,cupful,currants,pilchards,drinkers,caddies,buttermilk,fermented
41,coffeehouses,digo,bigs,pepper,pots,skewers,chicory,doats,sherbet,tasting,decoction,coff
