rank,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s
1,adulteration,rhubarb,prussic,chinese,contraband,tobacco,morphine,narcotics,narcotics,alcohol,morphia,morphine
2,drugs,laudanum,nux,drug,morphine,nux,nux,morphia,henbane,narcotic,narcotic,chloral
3,camphor,antimony,isinglass,cinnamon,tobacco,sublimate,alcohol,narcotic,spirituous,spirituous,opiates,cocaine
4,sublimate,camphor,teaspoonful,contraband,chinese,drug,morphia,morphine,morphine,opiates,narcotics,belladonna
5,arsenic,decoction,acetate,benares,laudanum,senna,tobacco,antimony,morphia,narcotics,morphine,narcotics
6,saltpetre,narcotic,spoonful,nux,poppy,intoxicating,arsenic,opiate,narcotic,liquor,laudanum,morphia
7,teaspoonful,sulphuric,sublimate,hong,drugs,morphine,laudanum,catties,alcohol,intemperance,distilling,derivatives
8,rhubarb,vitriolic,sweetened,indigo,henbane,fermented,camphorated,overdose,opiate,morphia,spirituous,sedatives
9,carbonate,sublimate,spoonfuls,tobacco,drug,teaspoonful,decoction,alcohol,liquor,pernicious,bismuth,narcotic
10,potash,quicksilver,phials,henbane,slava,camphor,sublimate,poison,intoxicate,tobacco,soporific,laudanum
11,spirituous,repacked,syrups,plantains,indigo,liquorice,antimony,prussic,paralyzing,baneful,alcohol,harmful
12,homemade,poultice,julep,morphine,arrack,toffee,overdose,nux,prussic,soporific,deleterious,opiates
13,laudanum,mixtures,pennyroyal,europeans,overdose,morphia,acetic,arsenic,arrack,drink,prussic,strychnine
14,alcohol,oxygenated,camphor,fermented,isinglass,adulterate,muriatic,opiates,overdose,dilution,cathartic,phosphorous
15,infusion,saccharine,nitric,china,quantify,imbibing,fermented,calomel,stimulants,injecting,addiction,overdose
16,bitters,treacle,camphorated,poppies,poisonous,peppe,prussic,laudanum,traffickers,prussic,upas,syrups
17,intoxicating,brimstone,narcotic,adulteration,prussic,prussic,poison,bismuth,slavery,morphine,demoralizing,alkaloid
18,sophisticated,refining,mucilage,senna,sublimate,sprits,liquorice,injurious,fumigation,stimulants,tobacco,atropine
19,treacle,digitalis,treacle,narcotic,arsenic,narcotic,senna,fermented,retaliatory,orthis,distillation,bromides
20,leeches,soluble,arrack,mandarins,narcotics,decoction,myrrh,deleterious,contraband,derivatives,poisonous,volatile
21,coarsest,leakage,caviare,poppy,philippines,henbane,narcotics,pigments,prohibition,laudanum,pernicious,salivating
22,jesuit,beetroot,alkali,canton,ticketing,salt,tannic,ingredient,bestial,suppresses,vagina,prussic
23,flaxseed,renames,sulphate,acetate,smuggling,arsenic,syrups,sublimate,nauseating,secretes,potions,proscription
24,poisonous,julep,tobaccos,saltpetre,sulphur,bleedings,iodine,nitric,revoltingly,opiate,overdose,noxious
25,clandestinely,bitters,laudanum,burmese,illicitly,adulterated,emetic,pernicious,injecting,truffle,gaseous,nicotine
26,adulterated,nutrition,peppermint,natron,cassava,spirituous,diluting,fulminating,demoralizing,upas,gluttony,concoctions
27,molasses,quanti,corrosive,tea,poison,produco,citric,substances,pernicious,undiluted,paralysing,smuggling
28,buttered,decomposition,ammonia,spirituous,slave,narcotics,sweetening,nastiness,legalized,nimrods,illicit,irritants
29,fermented,compounds,adulterated,illicitly,americans,glutinous,acetate,nitrates,chinese,liquors,counteracts,ejects
30,adulterate,sediment,alcohol,deleterious,commodity,acetate,acid,poisonous,rottenest,prohibition,phosphorus,digitalis
31,naves,liqueur,bitters,linguists,siezed,arrack,narcotic,masticated,nitric,counteraction,arsenic,spirituous
32,smuggle,sprits,cigars,javanese,slaves,ipecac,bismuth,contain,ungodliness,tinctures,phosphoric,vodka
33,distilled,teaspoonful,pennyworth,overdose,piratical,nitrous,spirituous,surreptitious,wholy,demoralising,inject,unsaturated
34,biscuits,scuff,fermented,junks,sugar,decompose,potassium,unrefined,profanity,indiscriminate,antimony,aspirin
35,wafers,pennyworth,ounce,mucilage,peppermint,overdose,turmeric,spirituous,soporific,countervailing,toxin,hashish
36,corrosive,wadded,retesting,uncleared,lemonades,wineglass,drinks,neutralize,preservatives,conjunct,nux,purgative
37,bandages,saucer,poisonous,quantify,licorice,uncooked,spoonful,addiction,dilution,arrack,fermenting,phosphorus
38,shipment,neutralizing,sicknesses,nutmeg,china,cathartic,nitrous,adulterating,colonize,phosphorous,canker,scopolamine
39,slush,sweetened,diluted,gargle,poisons,poison,isinglass,demoralising,laudanum,addiction,astringent,witchcraft
40,adulterating,henbane,saccharine,drugged,pirates,drinks,snuff,acetate,indo,slavery,mercurial,caffeine
41,compounds,smugly,mixtures,chicory,reprisals,cupful,silicon,morph,liquors,poisons,decoction,quinine
42,swallowing,pertained,morphia,export,actually,sweetmeats,gamboge,drug,ntroduction,aridity,poisons,grosser
43,bargaining,savoury,chillies,clearances,embargoed,kernels,imbibing,susceptible,colluded,precipitates,contraband,arsenic
44,glutinous,candied,biscuits,adulterated,opiate,acid,albumen,baneful,feculent,incompletely,acetic,hemlock
45,bladders,narcotics,saucer,emetics,morphia,spoonful,nitric,chicory,tippling,deadening,drags,lithium
46,cradles,diluted,cupful,liquids,acid,chicory,injections,debauching,incubi,decimation,nauseating,acids
47,extracting,timepiece,confection,refilling,chewing,hellebore,swallowed,mischievous,gluttony,dange,liquorice,ferrying
48,skimming,adulterate,chlorine,unrefined,citric,sulphuric,adulterating,demoralizing,infecting,bounties,madagascar,chlorine
49,vaginae,gnashed,maceration,congo,cinnamon,china,gargle,exhale,restriction,purgation,drink,hulks
50,oysters,liquorice,illicitly,mixtures,europeans,calcium,creosote,inoculation,reactions,debauch,aromatic,monoxide
51,smuggled,ochre,pounded,inhalation,chicory,cinnamon,moistening,ferments,predispose,immoderate,opiate,drugged
52,broody,glanders,boluses,gelatine,vesicle,alcohol,poisons,contaminate,homicidal,wreaks,tarantula,electrolytic
53,quanti,offish,liquorice,spices,mandarins,quinine,undiluted,consumable,embargo,humanism,liquors,hurtful
54,nutritious,dyeing,hellebore,sugar,omelets,emetic,mucilage,potion,injust,evils,menthol,saccharin
55,peeking,adulterated,philtre,homemade,forehand,laudanum,hellebore,anyother,andfor,lndia,antidote,smelling
56,waffling,codfish,venoms,consignments,anodyne,borax,borax,profanity,inflames,canasta,sulphuric,sulphurous
57,nutritive,diuretic,gumption,rhubarb,aniseed,poppy,tamarinds,deceits,intoxicating,traffickers,inhaled,insipid
58,liquids,possessive,chocolat,turkish,adulterating,distillation,oxalate,debauch,imminently,expels,corrosive,saccharine
59,uncorked,smelling,pulverized,smuggled,natron,catsup,essences,idiocy,gorging,nurturing,quackery,vapours
60,stinking,mucilage,filings,presidencies,muriatic,coffee,intoxicating,emetics,retaliation,snuff,cobra,henbane
61,vitriolic,spoonful,fibrous,shiraz,poppies,detergent,tincture,countervailing,demonstrably,demoralizing,noxious,admixture
62,decomposed,sulphur,bismuth,macao,vitriol,husks,saltpetre,labelling,debasement,nux,miscalled,tannic
63,dainties,palely,pulp,bitters,alcohol,calabash,sugary,swallowing,alof,arsenic,sublimate,prophylactic
64,muriatic,consomme,seawater,stimulants,negroes,tincture,adulterate,exhilarate,defilement,abolitionist,pestilential,chloroform
65,diluting,borax,potash,beetroot,fermented,sweetening,grammes,antidotes,excessive,vegetative,acid,sulphuric
66,consumer,plugged,henbane,sampling,nitrates,citric,drug,tippling,bounties,mischiefs,injection,jujubes
67,borax,botter,potions,smuggling,vitriolic,indigo,phials,tamping,incompletely,adulteration,injurious,nitrates
68,evaporation,distilling,patella,laudanum,pilfered,frankincense,almonds,intoxicating,filthiness,stifles,plagues,hypodermic
69,gauged,vermicelli,poultice,vitriolic,boluses,poisons,unrefined,sugary,lactic,incalculably,undiluted,deleterious
70,pertectly,drinkable,carbonate,chests,sugars,semolina,pimento,talismanic,amost,intoxicating,antidotes,antidote
71,nauseous,sulphate,kernels,bowstring,creosote,snuffs,poisonous,treasonable,cocktails,quakes,leeches,mutations
72,sweetmeats,fallin,sulphuric,cloves,slavers,peppy,chinos,inhalation,ascetics,vevy,bleedings,injecting
73,dipped,crudity,sausages,narcotics,leavings,aromatics,illicitly,engenders,declension,consolidates,liquor,sweetmeat
74,woollens,quantify,omelettes,taels,oxalate,intoxicate,swallowing,corroding,impoverishes,legalized,inoculation,infamies
75,diluted,spilled,buttermilk,kong,syrups,nitrates,cupful,suppositions,import,alienates,hurtful,hydrate
76,steaming,cuttings,compounds,corrosive,acetate,swallowed,ipecac,fungi,strangles,infamies,syrups,mollusc
77,alkali,horseradish,gourmand,rupees,javanese,tea,sago,fusel,abortions,fixation,drugs,traffickers
78,sarsaparilla,antidotes,pieceof,prussic,iodide,contraband,sugar,enticement,drinking,inhaled,mitigates,absinthe
79,retailing,nutritive,cloves,africans,gristle,phosphorous,frankincense,offensiveness,postpones,overdose,cannibalism,injected
80,immersion,elvish,liquids,cochineal,phials,saccharine,vitriolic,deadening,antimony,fulminate,volatile,compounds
81,shippers,toppers,hydro,catties,gentian,disengagement,fluorine,reactions,furthermore,ferments,intoxicating,chlorophyll
82,galls,liquids,stinking,vermicelli,whiffing,whiffs,opiate,continuances,depopulation,ovvn,pestilence,diuretic
83,exporting,pounded,doctoring,sublimate,deletion,spoonfuls,chlorine,saliva,destruct,pampering,gambling,depressant
84,grease,imag,antidotes,overstock,guano,alkaline,mordant,inebriation,polygamy,inhalation,devastate,addiction
85,madder,spes,porridge,gunpowder,slaving,drugged,aromatics,drugged,counteraction,diluting,inflaming,stifles
86,sternal,bialy,injections,teas,actuall,quicksilver,sherbet,untaxed,irreligion,impregnation,impoverishes,flagons
87,corked,rewiring,poisons,alcohol,asiatics,lymph,condiments,noxious,indulgences,tippling,disinter,appropriates
88,oxides,ravioli,nitrous,arrack,vomits,cocktails,embalming,infects,innovate,malpractice,subsists,cockroaches
89,champaign,finked,queenly,antimony,silicate,styptic,sulphuric,abates,counterpoise,adulterate,contagions,potpourri
90,toothache,pustule,spirals,cocos,habitat,evacuations,camphor,sulphuric,hiis,drinking,calomel,phial
91,ticking,willnot,cinnamon,acetic,narcotic,cassava,manganese,someti,legalised,illicit,insidious,probaby
92,boiled,impregnation,plantains,saccharine,cupful,poisonous,quan,drugs,intemperance,gluttony,tinctures,treacherously
93,purloining,essences,offish,attenuation,presumed,laxative,cochineal,belived,tolerating,interdicts,imbibing,manganese
94,sulphuric,yummy,alloying,impacted,gamboge,adulteration,serous,muriatic,aristo,gambling,muriatic,footpads
95,emetic,fielded,drinkers,feculent,iodine,import,henbane,prohibition,bourgeoisie,silicates,adulterate,lmage
96,blister,pleura,sediment,albumen,noxious,masticated,ounces,citric,suppresses,bismuth,lactic,hydrophobia
97,effets,opiates,adulterating,crystallised,enticement,antimony,gulped,repugnant,proscription,debasing,capsule,coracle
98,stranding,rady,almonds,frictions,clippers,unrefined,shoves,dilution,detestable,originates,inflame,baobab
99,sustenance,pickled,fumigation,drugs,nitrate,potassium,spoonfuls,decoction,stoicism,sulphurous,proscription,distiller
100,combustibles,cellular,catsup,onlv,onetime,wine,drugged,alloys,unsavory,acetic,consumes,caesars
101,hampers,consignor,adulterate,borneo,junks,voraciously,salt,swipes,immoderate,inject,pops,soporific
102,gauging,sprats,phosphate,natives,peppy,myrrh,countervailing,notarial,debasing,ergot,saccharine,pervert
103,plumbs,hellebore,scrapings,commodity,inclusion,deleterious,savors,vesicles,interfer,predisposing,exhaled,infusion
104,gruff,hemlock,beverages,pirates,liquorice,fungus,theonly,nauseous,auger,reactions,hogshead,hormones
105,liquorice,ladling,drugs,importation,embargoes,natron,wino,illegitimacy,poison,trafficking,nostrum,antidotes
106,lipping,decomposed,oakum,cayenne,hut,clippings,beefsteaks,compilations,andnot,unripe,drugged,toxic
107,nutmeg,digitally,grains,bocca,cocoons,shellfish,indigo,putrefaction,inveighing,restriction,solvents,injector
108,superabundance,concrete,nitrate,arsenic,rickey,drinker,sulphurous,illicit,emissions,henbane,camphor,miscalled
109,strangles,globules,cargos,stuffs,treasure,grains,uncorked,violent,treacheries,sublimate,seductions,formaldehyde
110,firearms,drinkers,sugared,boh,brazilians,exudes,concretion,definable,slave,avoidable,recanting,respirations
111,liqueur,sumi,grubs,spills,bitters,shellac,pickings,undue,catalans,ortho,mischiefs,irritant
112,eatables,intoxicating,spoors,homegrown,chests,sugary,cinnabar,insidious,tobacco,valerian,adulteration,concoction
113,salting,bladed,injected,quarantines,kidnapping,chinese,blubber,texans,smelt,tthis,gritty,wracking
114,linseed,sperms,barometers,intoxicating,chinos,scrapings,quantify,dangerously,licentiousness,fatalism,unchaste,innocuous
115,mouldy,mistral,rhubarb,breweries,spice,indigestible,whiffs,indica,iniquitous,indie,rancid,fruitarian
116,pennyworth,foments,adulteration,java,drinkable,slaves,sulphate,instigations,eater,prurient,analytically,outflow
117,alkaline,potassium,gravy,souring,barnacle,drinkable,evaporating,acid,potassium,thepeople,drinks,balsamic
118,nipple,soldering,dampers,syrups,thetime,doctored,chromium,punctures,slaves,polygamy,indulgences,emanations
119,sprats,actinic,morphine,confectionery,borax,odoriferous,julep,unrestricted,foments,andthat,sedative,pepa
120,pawning,batting,sherbet,quintupled,sugared,albumen,antenna,irritant,despoiler,copulation,emanations,nonalcoholic
121,canisters,peeking,sassafras,lahore,emetics,carbonate,pennyworth,fivefold,paraguay,acertain,lozenges,remotes
122,whisky,dialled,nippers,myrrh,infections,mangoes,soporific,suspects,purgation,inoculating,putrefaction,lathering
123,lemonade,omelets,vitriol,columbo,existance,brandy,wine,rottenest,mightbe,actua,purges,poisons
124,liqueurs,bedsit,spurge,congestion,villainously,immoderately,biking,cougar,naturalization,ignorantly,anathema,drugging
125,markings,gypsum,situps,endemic,exeunt,candied,lactic,produco,couture,deduces,malign,baneful
126,pumpkins,glutinous,magnums,embargoed,rubbers,peppermint,grains,prostate,sublimate,vaccine,ingredient,cosmetics
127,bristles,spices,muriatic,indians,ridged,popper,gluttony,retaliations,salivary,curse,asiatics,sorcery
128,victuals,poisonous,dropper,undiluted,suppression,wendy,sugi,liquor,lndia,adulterating,decoying,supposedly
129,butit,confection,aerating,poisonous,mucilage,cocoons,juice,adulterate,combatting,discontinues,compressing,exterminating
130,turpentine,vegetal,oxy,drinkable,hashing,catties,gedda,propagates,plantar,secondly,baneful,firearms
131,brimstone,airlift,cheapening,groceries,slavery,liquor,flailed,immoderate,stagnated,injected,hemlock,putrefaction
132,oxygenated,hurtles,pounding,potash,gelatinous,tinctures,reruns,subverts,shackling,fluorine,injecting,ravaging
133,spermaceti,washings,puddling,fivers,gastric,commodities,irritant,phosphoric,thetime,muriatic,vigo,cellulose
134,appraised,fulminating,udders,embargoes,smugglers,maddens,molasses,dentition,apologists,mendacity,smokes,colitis
135,faking,biscuits,unpacking,absorption,indeterminate,cranberries,quinces,deprave,ejects,setup,reactions,intoxication
136,strengths,bedtime,emetic,emetic,resale,dothe,dilution,arrack,expletives,dissections,vegetate,heroin
137,greened,distend,absorbent,korea,fumigation,frothy,turpentine,homicidal,paralyses,intemperate,silicon,imbibing
138,snuffs,canasta,indigestible,dollars,illicit,potion,cassava,fulminate,precipitates,baleful,citric,pestilent
139,wendy,tamarind,sampled,exported,paythe,oxalate,cloying,atlases,suppressing,thatwas,coolie,nauseous
140,nirvana,takings,emetics,sulphate,molasses,excised,precariousness,vitriol,mediated,swallowing,oozes,wolfing
141,cowering,binged,edibles,consumption,drugged,candies,nocent,belief,cramping,salivary,chlorine,phenol
142,punches,ignite,vitriolic,package,seizure,nastiness,liquor,serrations,malpractice,whois,preservatives,experimentation
143,quantify,foramen,quantify,semolina,candied,plantain,rankest,madhouses,sulphuric,mediated,sampling,nutrient
144,boluses,syringe,gametes,creosote,mulled,astringent,carbonate,protrusion,hecause,abrogated,indie,villainously
145,crucibles,suppuration,bituminous,kegs,slaver,swallowing,cinnamon,fixation,aversions,exterminators,decrying,germicide
146,kian,syrups,staggers,capsule,impacted,birthrights,bromine,contaminating,adulterate,lingua,propagates,meddlers
147,nectar,spines,bristles,liquorice,gling,fluxes,potable,separations,envenomed,chante,idolatry,licentious
