rank,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s
1,molasses,tobacco,sugars,sugars,sugars,sugars,molasses,suga,tablespoons,castor,castor,butter
2,sugars,indigo,tobacco,molasses,suga,molasses,sugars,sugars,turmeric,tapioca,teaspoon,granulated
3,indigo,sugars,indigo,refining,molasses,coffee,rice,molasses,molasses,vanilla,treacle,flour
4,cochineal,spices,refiners,beetroot,indigo,suga,tobacco,beetroot,treacle,suga,butter,treacle
5,enforceable,woollens,cinnamon,suga,coffee,refiners,refiners,coffe,granulated,treacle,granulated,cornflour
6,liqueurs,tamarind,sagar,tobacco,tobacco,tobacco,unrefined,chicory,teaspoon,tablespoons,nutmeg,margarine
7,warehousing,potash,molasses,cocoa,produce,spices,saltpetre,coffee,anchovy,loaf,juice,sultanas
8,tobacco,refiners,cochineal,refinery,chicory,rice,jute,butter,tarragon,arrowroot,suga,arrowroot
9,pepper,coffee,cocoa,refiners,cloyed,saltpetre,coffee,unrefined,suga,clarified,cupful,vanilla
10,woollens,butter,refinery,indigo,rum,indigo,liquorice,saltpetre,salt,anchovies,sultanas,gelatine
11,cocoa,seger,exporters,rum,slave,cocoa,shellac,cotton,isinglass,molasses,sifted,currants
12,starch,flaxseed,sugary,treacle,unrefined,tamarinds,turmeric,loaf,tapioca,flour,anchovy,cupful
13,refiners,molasses,suga,refilling,import,cochineal,suga,rice,cocoons,teaspoon,saltpetre,macaroon
14,raisins,tamarinds,pepper,cocos,importation,auger,indigo,toffee,auger,spoonfuls,candied,marmalade
15,spices,pepper,plantains,plantation,export,produco,chicory,cannister,cochineal,turmeric,molasses,tapioca
16,flax,cheese,tobaccos,export,imported,currants,rum,spices,spoonful,pistachio,isinglass,spoonfuls
17,scrapings,sagar,export,exported,auger,cocos,syrups,cheese,spoonfuls,ounces,ounces,tablespoon
18,distilled,suga,toffee,imported,refiners,toffee,currants,bounties,cupful,teakettle,spoonfuls,teaspoon
19,grocery,currants,turmeric,spices,grown,equalized,flax,cloves,tamarinds,juice,tarragon,rosewater
20,coffees,cocoa,arrack,breweries,plantation,chicory,coffe,cupful,nutmeg,flaxseed,gluten,auger
21,distilling,cinnamon,scrapings,refilled,planters,unrefined,beetroot,treacle,refinery,catsup,egg,bicarbonate
22,linseed,coffer,saltpetre,cottons,beetroot,tea,raisins,nutmeg,parmesan,wineglass,loaf,teaspoonfuls
23,turpentine,pimento,husking,raw,compu,consumable,treacle,shellac,butter,egg,turmeric,tablespoons
24,pimento,cochineal,nutmeg,tea,refining,produce,gedda,morphine,shellac,sago,spermaceti,walnuts
25,cocos,almonds,cocos,refined,commodity,pimento,computed,cotters,vermicelli,parmesan,tapioca,cochineal
26,tamarinds,flax,rum,crystallised,distilleries,plantains,pimento,teaspoon,loaf,caramel,almonds,carbonate
27,almonds,pilchards,almonds,commodity,cotton,import,turpentine,luch,bounties,kernels,parmesan,isinglass
28,salt,groceries,coffee,saltpetre,exportation,soap,refinery,lump,clarified,mix,basin,seasoning
29,oranges,sweepings,flaxseed,woollens,cocoa,rum,reis,cochineal,sugared,ketchup,vermicelli,spoonful
30,cloves,hardware,potash,coffees,cinnamon,export,blackish,basins,sago,fritters,crumbs,saltpetre
31,flaxseed,saltpetre,spices,cinnamon,slavery,brandy,refining,candied,arrack,cochineal,cayenne,sweetened
32,blubber,computer,tamarinds,coffee,illicitly,beetroot,cocoons,pineapple,scoop,butter,peppers,anchovy
33,plumbs,cocos,coff,chicory,planter,cinnamon,cotton,sutter,quinces,pineapple,pulp,breadcrumbs
34,sweepings,hemp,cloyed,coff,indies,plantation,tapioca,auger,sugary,saucer,currants,flavouring
35,countervailing,raisins,casks,exportation,brazil,refinery,import,flaxseed,fritters,garlic,flour,almonds
36,saltpetre,tobaccos,liquorice,importation,bonded,semolina,fruit,bread,fluxes,spermaceti,yeast,sultana
37,currants,brandies,bigs,sales,consumer,kernels,sour,hoppers,basin,jug,cochineal,nutmeg
38,cinnamon,warehoused,borax,pimento,producers,refining,loaf,catties,giblets,sifter,ketchup,raisins
39,homemade,liquorice,chillies,homegrown,grain,flaxseed,dried,refilling,ounces,spoon,vinegar,glucose
40,sagar,export,cottons,mids,mucilage,peppe,tamarinds,sublimate,lump,basin,pineapple,tartar
41,chocolate,cordage,cheese,toffee,colonies,raisins,crystallised,cocoons,batter,saccharine,refinery,suga
42,slush,distilling,mids,unrefined,commodities,treacle,ofone,raisins,spermaceti,yolks,semolina,candied
43,toffee,goals,cloves,arrack,exported,homegrown,spices,isinglass,kneaded,cupful,citron,desiccated
44,distillery,horsehair,seger,commodities,slava,cassava,isinglass,cayenne,flaxseed,dish,salt,unsalted
45,export,loaves,coffe,consumption,consumption,cloyed,flaxseed,skewers,macaroni,nutmeg,vanilla,coriander
46,biscuits,maize,flops,casks,java,scrapings,warehoused,plantains,coriander,semolina,liquorice,jam
47,potash,tapioca,coffees,hops,sugi,planters,produce,batter,catsup,salt,oranges,juice
48,prunes,refinery,bagi,cochineal,cocos,hogshead,butter,cinnamon,vinegar,lump,carbonate,parmesan
49,sarsaparilla,cloves,biscuits,homemade,plantains,distillation,adulterating,jute,cinnamon,auger,kernels,yolks
50,butter,toffee,sweetened,distilleries,slaves,sago,confectionary,albumen,spoon,thicken,tablespoons,vinegar
51,herrings,sweetmeats,illicitly,consumer,negroes,liquorice,brandywine,fruit,adulterate,sprinkles,sifter,cayenne
52,pilchards,oranges,funks,titler,currants,product,quintals,refilled,crystallized,spices,sugars,cheese
53,vitriol,casks,muscatel,sugary,quantify,coffe,cassava,fritters,cayenne,crumbs,pistachio,salt
54,arrack,importation,butter,plantains,candied,cloves,flour,skimmer,antimony,beefsteaks,auger,macaroons
55,overage,grocery,treacle,manufacture,equalized,arrowroot,cottons,quintals,anchovies,cassava,sieved,wheaten
56,exports,brimstone,hemp,kilogrammes,spices,plantain,corn,homegrown,hellebore,muriatic,suet,permanganate
57,cofee,bales,ginseng,drawbacks,cargos,exported,toffee,untaxed,turps,muscatel,oatmeal,seasonings
58,lugar,bakehouse,brimstone,distillation,overstock,tapioca,commodities,slices,saucer,acetate,spoonful,peppercorns
59,bonding,treacle,castings,distilling,sampling,importation,codfish,platters,beetroot,refinery,marmalade,tablespoonful
60,distillation,muscatel,isinglass,natron,producer,sugary,aromatics,meat,fluorine,candied,chicory,dredge
61,quintals,cottons,pimento,turmeric,protective,runi,vanilla,cloying,bergamot,cups,teaspoonful,chillies
62,cranberries,biscuits,brandy,quantity,opium,snuffs,arrack,neef,pistachio,pounded,firkin,meringue
63,distilleries,twiddling,exporter,groceries,experts,mids,cigars,tasters,egg,peppermint,dumplings,unsweetened
64,codfish,plumbs,udders,gumption,competion,imported,hellebore,currants,evaporates,saltpetre,coffe,allspice
65,breweries,invoiced,adulterate,illicitly,growers,distilleries,sago,acetate,chees,arrack,arrowroot,spaghetti
66,coffee,wool,cofee,sampling,toffee,salt,cheese,kilograms,gravy,ounce,strawberries,turmeric
67,drawback,botter,teaspoonful,juice,saltpetre,gedda,cochineal,lentils,pancakes,syrups,bergamot,breadcrumb
68,madder,exportation,gumption,importers,importing,uncooked,lentils,truffles,suet,lactic,spoon,mashed
69,brimstone,madder,phillipines,saccharine,homemade,cupful,raw,fluctuates,truffles,tarragon,bread,chicory
70,sago,turmeric,consumption,tapioca,treacle,arrack,rosin,creams,crystallised,batter,pounded,semolina
71,grain,mangoes,adulterated,knead,coffe,calabash,scrapings,mucilage,candy,raisins,raisins,crumbs
72,warehoused,importers,cigars,manufactured,rice,candied,gulped,grain,candies,shellac,coriander,raspberry
73,smuggled,broody,bristles,taxable,refined,liqueurs,muscatel,tureen,saltpetre,tongs,pepper,milk
