rank,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s
1,spoonfuls,teu,cupful,cruets,coffee,teas,coffee,coffee,teas,coffee,supper,supper
2,trays,spoonful,tee,teapot,pot,meat,teas,teas,coffee,partaken,coffee,dinner
3,chapatti,caddies,muffins,teaspoons,eta,ate,amain,tpa,tpa,coff,dinner,partook
4,thrower,tee,mache,spoonfuls,coffe,ale,tee,coffe,tsa,coffe,partaken,partaken
5,spoonful,ten,cruets,teas,rum,slam,tpa,toffee,coffe,supper,teas,hotpot
6,cupful,caddie,caddies,spoons,cinnamon,wane,wino,coff,supper,dinner,breakfast,repast
7,tex,goblets,teapot,tankards,spoo,raw,coff,partook,partook,souchong,partook,partaking
8,chapatis,spoonfuls,gravy,spoonful,ewer,eat,toffee,cannister,dinner,partook,entertainment,coffe
9,diapers,feedlot,broody,sugar,urn,tee,coffe,partaken,partaken,teas,partaking,coffee
10,fedora,tau,trays,nutmeg,salt,tin,sassafras,cannisters,partaking,coffer,coff,luncheon
11,broody,teapot,spoonfuls,trays,cruets,eta,sugar,hima,tess,buns,repast,lunch
12,scaler,libation,tablespoons,tobacco,ale,melt,rum,tsa,repast,luncheon,regaled,lunches
13,chamois,toffee,liqueur,ale,sushi,teem,ewer,choo,dinne,entertainment,luncheon,teas
14,tankard,teapots,ten,urns,wane,coffee,spoonful,dinne,buns,regaled,tsa,partake
15,adorning,dietitian,strainer,pot,suga,awn,spoonfuls,tamarinds,regaled,cannister,fork,alfresco
16,sieves,teaspoons,enameled,skewers,mug,rasa,muffins,oops,luncheon,tpa,partake,refreshments
17,spirituous,nioe,cutlets,teapots,raw,emit,toddy,edibles,breakfast,repast,cosies,breakfast
18,caddies,drinkable,teapots,dessert,tee,bat,importing,tel,coff,paraguay,lunch,regaled
19,treacle,sweaty,goblets,macho,toffee,ise,alack,dinner,entertainment,partaking,coffer,sandwiches
20,unread,pooch,saucer,soup,sere,ads,wine,teapots,saucer,cannisters,sumptuous,cruets
21,seesaw,stereo,teu,ewer,teas,mete,spices,cake,sumptuous,breakfast,dinne,marquee
22,tufo,anout,casserole,cruet,lemonades,weal,ate,breakfast,collation,tes,refreshments,breakf
23,teu,bladed,canisters,gravy,beer,ware,raw,sandwiches,partake,coffi,coffe,caddies
24,ivories,loof,teaspoons,scoops,sugar,fa,ten,rackets,ndian,collation,suppers,toa
25,dipped,horded,reven,pint,spook,rum,silk,doats,cake,caddy,muffins,sumptuous
26,hugest,adobe,spoonful,tablespoons,ina,mien,japans,purr,coffer,sumptuous,provided,breakfasts
27,ten,legato,sket,caddy,tobacco,tar,rancid,saucers,chers,lunch,sandwiches,chers
28,civics,drinks,oout,coffee,hooey,ahem,sugars,partaking,sat,tsa,edibles,entertainment
29,spume,cattails,sieves,wine,cannisters,mu,tsa,semble,cannister,teo,recherche,infuser
30,potash,segal,piglet,amiga,beetroot,hems,auger,nonsuch,souchong,provided,pancakes,chantent
31,sipping,doles,chong,flagons,sauer,ohm,chees,sapper,luncheons,tess,roasters,refreshment
32,sweetmeats,nasi,sagar,decanter,coff,mae,tobacco,regaled,salmons,bountiful,eatables,soiree
33,spying,freebie,sausages,muffin,butter,hid,rim,cupful,provided,partake,served,suppers
34,leaner,gravy,spoors,castors,tin,sae,iets,teo,bountiful,tasters,tpa,conviviality
35,healer,primates,tankards,riddick,ia,hat,ass,chers,rectifier,ooff,diners,collegium
36,dummy,saucer,cruet,spoon,spices,tat,ina,scup,choices,planter,regaling,kipper
37,tsetse,yaps,decanter,poth,tsa,toe,tau,sweetmeats,cannisters,eatables,toasting,contort
38,paladin,vetoing,kettles,cupful,rem,rem,drinkers,fesses,rapper,desserts,trencher,knifes
39,lemonade,ladling,macho,calabash,ibis,melee,ale,doctored,soiree,refreshments,platter,cosies
40,saucer,tankard,mug,tasting,peonies,atm,ofter,supping,urns,dinne,schoolroom,speechmaking
41,cargos,seedier,porridge,mugs,ate,ass,skewer,analyzed,suga,keeling,victuals,stepper
42,chapati,sieves,catsup,liqueur,nee,tads,itchy,puro,eatables,eeling,apical,untasted
43,oxide,shred,cannisters,kettle,gooey,mime,twirl,repast,refreshments,roasts,conviviality,rummage
44,tankards,myrrh,uzi,ewers,coffi,pea,savors,beef,teapot,caddies,caddy,caddy
45,chocolate,beetroot,upped,biggins,toddy,ha,beefsteaks,coffer,drinkable,fork,bouillon,teacups
46,spiritu,waivers,welshes,waiters,wiat,minim,gravy,partake,recherche,sandwiches,meat,singsong
47,deader,beefsteaks,booze,quart,ta,ins,ulna,spoo,sugar,teapot,refresher,teapots
48,voodoo,talkies,elevens,beefsteaks,spirt,emu,limo,nipper,afree,distributions,teapots,coff
49,threa,sweetmeats,beefsteaks,boh,wag,thin,waz,eatables,toffee,ftiends,serval,dined
50,chaplet,lutie,ale,roasters,het,soma,lavas,teaspoons,sipping,snack,tasters,toya
51,cocos,mugs,pulp,indigo,tomato,wes,slam,toasting,nner,regaling,chers,eventing
52,sevens,saat,abot,ladle,dodos,ham,teu,filmic,trays,china,tess,soirees
53,mattress,gyms,sherbet,spittoons,bete,doilies,housemen,bouche,chins,substantia,rummage,asocial
54,waive,oleg,pooch,ragout,beefsteaks,toffee,cinnamon,tess,marquee,unworn,certs,sipping
55,rhubarb,treacle,pieceof,pots,ha,dna,gorn,haggis,tes,intuits,connoisseurs,teatime
56,filches,strainer,dessert,tongs,goli,wham,bop,buns,sweetmeats,sat,sevres,socio
57,bots,reboot,noggins,candlesticks,melt,oar,toe,cosies,tasters,navels,snack,banquet
58,fobs,broody,teaspoonful,coff,wry,semolina,tess,tego,muffin,served,server,smoking
59,distal,apnea,biscuits,bandannas,voodoo,tab,ammo,groper,lunch,cups,marquee,samovar
60,duper,dozens,tin,salt,indigo,bum,minim,andro,paro,sherbet,collation,pewter
61,falters,silvers,confections,dozer,giblets,isms,molasses,sumptuous,pancake,speechifying,soiree,recherche
62,oddball,oozes,doyen,drugged,hiker,oat,moshe,treacle,neef,nderstand,primps,bootees
63,toaster,guid,bome,drinkers,rimless,meek,moos,thickening,meal,trays,thering,convivial
64,napkins,shree,gin,beverages,holla,bet,confectionary,catsup,sandwiches,urns,quaffing,eatables
65,charisma,sead,tongs,coolers,emu,urea,teo,trays,china,chins,sat,plateful
