rank,1800s,1810s,1820s,1830s,1840s,1850s,1860s,1870s,1880s,1890s,1900s,1910s
1,cochineal,potash,sugar,sugar,cigars,cigars,cigars,cigars,cigars,cigars,cigars,cigarettes
2,turpentine,spices,arrack,cigars,chicory,wine,unrefined,snuff,cigar,snuff,snuff,baccy
3,sugars,indigo,cochineal,export,molasses,coffee,liquorice,cigar,fumigating,cigar,snuffs,smokes
4,indigo,woollens,exporters,rum,smuggled,chicory,chicory,ecco,contraband,opium,distilling,sweetmeat
5,cocoa,tobaccos,tobaccos,plantains,illicitly,liquorice,snuff,suga,snuff,spirituous,smokes,pipeful
6,almonds,cinnamon,export,cheese,contraband,sugar,rags,pipe,smoke,pouch,spirituous,chicory
7,tamarinds,flaxseed,cigars,chicory,adulterated,hogshead,sugar,smoking,lcan,whiffs,cigar,cigs
8,oranges,currants,brandy,cottons,vinegar,calabash,smuggled,fumigating,smuggled,pipe,hogshead,icecream
9,molasses,butter,rum,spirituous,smuggling,cassava,spirituous,smoke,pouch,smokers,sweetmeats,spirituous
10,staves,saltpetre,cinnamon,distilleries,sugar,opium,adulterating,cig,smokes,sweetmeats,adulterating,pouch
11,currants,pimento,potash,molasses,arrack,brandy,tapioca,cannister,opium,drink,consumable,sweets
12,starch,sugar,whiskey,beetroot,cassava,soap,fermented,snuffs,pouches,smoke,pouches,saccharine
13,pilchards,almonds,cottons,tea,cocoons,scrapings,warehoused,smokes,snuffing,oranges,oranges,distilling
14,prunes,tamarind,sagar,groceries,imported,toffee,commodity,shag,adulterating,cannister,addiction,flagons
15,tarpaulins,molasses,hemp,distillation,semolina,imported,turmeric,smoker,pipe,smokes,victuals,unsweetened
16,potash,export,indigo,homegrown,spirits,unrefined,turpentine,havana,snuffs,brandied,contraband,eatables
17,cranberries,seger,bales,cassava,beetroot,illicitly,wine,consumable,smoker,vevy,morphine,snuff
18,saltpetre,cottons,casks,vinegar,import,cocoa,tamarinds,copa,hargraves,beer,pouch,cigarette
19,smuggled,hemp,flaxseed,consumption,indigo,snuffs,adulterate,hookah,arrack,brandy,liquor,bonbons
20,sugar,biscuits,snuff,imported,camphorated,raisins,sherbet,coffe,sweetmeats,peppermint,phosphorus,fags
21,liqueurs,cochineal,treacle,homemade,adulterating,currants,confectionary,smuggled,molasses,cocktails,saccharine,chewing
22,linseed,cobalt,liquorice,whisky,licorice,kernels,whiffs,seizures,liquor,calumet,sweets,shipper
23,woollens,quicksilver,brimstone,tapioca,liquorice,semolina,consumed,gacy,hellebore,whiskey,chewing,cigar
24,sarsaparilla,cocoa,almonds,smuggled,export,arrack,coffee,pouch,beer,arrack,smoke,pineapples
25,bales,horsehair,scrapings,indigo,opium,quantify,molasses,unrefined,liquors,sweets,varlets,foodstuff
26,brimstone,pepper,whisky,liquors,quantify,excise,shellac,sweets,smoking,pineapple,refiners,pouches
27,plumbs,warehoused,mids,turmeric,silk,snuff,sweepings,pouches,smokers,alcohol,cocktail,glucose
28,blubber,cordage,cocoa,arrack,sugars,bonded,warehousing,smokers,henbane,chewing,refinery,tobaccos
29,brandy,codfish,isinglass,consumable,macaroni,macaroni,excise,sweetmeats,spirituous,diluting,undiluted,beverages
30,hardware,liquorice,saltpetre,adulterated,cheese,uncooked,sailcloth,virginia,shellac,liquor,untaxed,meerschaum
31,coffees,quintal,smuggled,liquorice,plantains,plantains,sweetening,cocktails,smuggling,smuggled,consuming,chocolat
32,hogshead,brimstone,cheese,cocoa,exportation,manufactured,homemade,snuffing,fumigation,treacle,pipe,molasses
33,groceries,countervailing,slops,illicitly,cotton,cranberries,repacked,cannisters,shavings,pouches,adulterate,hookah
34,liquorice,shippers,woollens,excise,unrefined,liqueurs,rum,pigtail,sugar,disgorged,cassava,cigars
35,sweetmeats,pilchards,cask,fermented,cottons,salt,hemp,chewing,cocoons,sampling,eatables,flasks
36,pimento,sweetmeats,turpentine,smuggling,warehousing,exporting,kilogrammes,illicitly,combustibles,smoker,abjuring,schnapps
37,cocos,ashet,broody,flax,toffee,distillation,taxed,tamping,abstains,husks,beer,chocolates
38,warehousing,groceries,biscuits,cochineal,mangoes,rum,commodities,snu,factored,contraband,smoking,consomme
39,barrels,cocos,funks,opium,wine,exported,victuals,stalks,smelt,whisky,molasses,choco
40,cobalt,broody,husking,natron,exported,adulterate,arrack,lcan,tamarinds,tthis,retailing,homegrown
41,turmeric,hardware,unground,toffee,sampling,export,cochineal,crystallized,chewing,fumigating,candies,pocketing
42,drugs,tamarinds,quintals,adulterating,excise,tampers,isinglass,canker,gunpowder,distilling,granites,smoked
43,raisins,brandies,butter,gelatine,turpentine,coffi,fruit,copes,unripe,adulterate,distilleries,pilfered
44,slush,treacle,adulterate,kelp,suga,frankincense,condiments,froms,grog,combustibles,smuggling,flagon
45,warehoused,eatables,madder,spices,oranges,peppe,smuggling,catties,adulterate,sherbet,immoderate,sutter
46,biscuits,cheese,tapioca,wine,shipped,flagons,cigar,caballero,nuevo,spittoons,liquorice,quantum
47,galls,grocery,liquors,crocks,sprits,phosphorous,fumigate,whiffle,rudd,adulterating,commodities,absinthe
48,treacle,arrack,bagi,cinnamon,hogshead,flaxseed,steeping,pple,odoriferous,pilfered,moveables,distillery
49,snuffs,flax,illicitly,whiskey,brandy,truffles,quinces,chicory,hookah,threepenny,choices,curries
50,pepper,pickled,refiners,vermicelli,scrapings,adulterated,beer,sugar,smells,inhaled,toothpick,slicing
51,cinnamon,coolers,tamarinds,sweetmeats,sweetmeats,smuggled,camphorated,uncorked,raffia,consigning,simples,pipo
52,tabasco,repacked,anker,exported,manufactured,plantain,cider,cocoons,purloining,edibles,shavings,hemlock
